decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
FunDo User Privacy Agreement,FunDo User Privacy Agreement,100.0,0,main,"FunDo User Privacy AgreementFunDo User Privacy AgreementShenzhen Fenyun Technology Co., Ltd. (hereinafter referred to as ""we"") take our users' privacy and personal information protection very seriously. We may collect and use information about you when you use our products and/or services.We want to explain to you through the Privacy Policy (""This Policy"") how we collect, use, and store such information when you use our products and/or services.",449,<generic>,<error>
FunDo User Privacy Agreement,FunDo User Privacy Agreement,100.0,0,main,"We expect you to read and confirm that you fully understand what is stated in this policy before using our products and/or services.When we use your personal information for other purposes not set forth in this policy, or when information collected for a specific purpose is used for other purposes, your consent will be sought in advance by your unsolicited check.",365,<generic>,<error>
FunDo User Privacy Agreement,FunDo User Privacy Agreement,100.0,0,main,"Please note that all personal information you provide when you use our products and/or services will continue to authorize us to use them for the duration of your use of our products and/or services, unless you delete or refuse to collect them from us through system settings.When you log out of your account, we will stop using and delete your personal information.",366,<generic>,<error>
1. The range of personal information that you authorize us to collect:,"
1.The range of personal information that you authorize us to collect:",98.57142857142858,1185,main,1.The range of personal information that you authorize us to collect:,69,<first>,<what>
"Personal information refers to information that can be recorded electronically or otherwise, individually or in combination with other information, to identify a particular natural person or to reflect the activities of a particular natural person.","Personal information refers to information that can be recorded electronically or otherwise, individually or in combination with other information, to identify a particular natural person or to reflect the activities of a particular natural person.",100.0,1256,sub,"Personal information refers to information that can be recorded electronically or otherwise, individually or in combination with other information, to identify a particular natural person or to reflect the activities of a particular natural person.",248,<first>,<error>
The personal information covered in this policy includes:,The personal information covered in this policy includes:,100.0,1505,sub,The personal information covered in this policy includes: ,58,<first>,<what>
"basic information (including personal name, birthday, gender, address, personal phone number, email address)","basic information (including personal name, birthday, gender, address, personal phone number, email address)",100.0,1563,sub,"basic information (including personal name, birthday, gender, address, personal phone number, email address); ",110,<error>,<error>
"Email address and password, password, password protection answers related to the foregoing","Email address and password, password, password protection answers related to the foregoing",100.0,1673,sub,"Email address and password, password, password protection answers related to the foregoing; ",92,<error>,<error>
"personal property information (transaction and consumption records, as well as virtual property information such as balances, coupons, etc.)","personal property information (transaction and consumption records, as well as virtual property information such as balances, coupons, etc.)",100.0,1765,sub,"personal property information (transaction and consumption records, as well as virtual property information such as balances, coupons, etc.); ",142,<error>,<error>
contacts,contacts,100.0,1907,sub,contacts; ,10,<error>,<error>
