decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy policy,Privacy policy,100.0,0,main,"Privacy policyPrivacy policyfor “Birthdays” (“Birthdays: Reminder & calendar”)Date of publicationAugust 9, 2022Latest versionhttps://www.delight.im/legal/privacy/birthdays/",172,<error>,<error>
General,General,100.0,179,main,"GeneralProtecting your privacy and keeping your personal information safe is our highest priority. This privacy statement (“privacy policy” or “policy”) is designed to help you better understand how and to what extent we collect, use, disclose, transfer and store your information.The policy applies to our websites, mobile apps, software applications, products and services, collectively referred to as “services”. These services include:“Birthdays” (“Birthdays: Reminder & calendar”) by delight.im",499,<error>,<other>
General,General,100.0,179,main,"Android app (available from “Google Play”, a digital distribution platform operated by Google Inc.)This privacy policy governs your use of our services regardless of the domain names, operating systems, platforms or devices that are used to access the services, and regardless of whether such access is in connection with an account or not.",340,<error>,<other>
General,General,100.0,179,main,"As a condition for your use of our services as a customer, user or visitor (collectively referred to as a “user” or as your “use”), you consent to the terms of this policy and you agree that your personal information will be handled as outlined below.",251,<error>,<other>
Our principles,Our principles,100.0,1276,main,"Our principlesWe never sell, rent out or trade any of our user’s personal information with third parties for commercial purposes.We always collect only the minimum amount of personal information necessary to provide our services to you, unless you choose to provide more such information voluntarily.We encourage you to give us, and, more generally, any provider of digital services, only the amount of data you are comfortable sharing. If in doubt, rather do not share sensitive information.",492,<generic>,<other>
Our principles,Our principles,100.0,1276,main,"We offer you simple ways to view, update or delete the data we have collected about you.",88,<generic>,<other>
Children’s Online Privacy Protection,Children’s Online Privacy Protection,100.0,1861,sub,"Children’s Online Privacy ProtectionNone of our services are designed for, intended to attract, or directed towards children under the age of 16.We never knowingly collect any information from children under 16. If you are a child below that age, you may not use any of our services.If we have any plausible reason to believe that you are a user who is under the age of 16, we will have to prohibit you from continuing your use of our services.",444,<generic>,<other>
Children’s Online Privacy Protection,Children’s Online Privacy Protection,100.0,1861,sub,"Should you believe that we might have any personal information of a child under the age of 16, in particular a child of your own, please contact us so that the data in question can be deleted, if appropriate. For our contact information, please see further below.",263,<generic>,<other>
Cookies,Cookies,100.0,2573,main,CookiesCookies are minimal text files that contain small amounts of data. They are transferred from our servers to your device through your web browser or app. Your web browser or app then sends these small text files back to us whenever you access our services.,262,<first>,<what>
Cookies,Cookies,100.0,2573,main,"These cookies do not necessarily contain any personal or identifying information. They are, however, commonly used to store a unique identifier for every individual user, so that our servers do not lose information on who you are while you are moving through the individual parts of our services.",296,<first>,<what>
Cookies,Cookies,100.0,2573,main,"We may use cookies and similar technologies, such as “Web Storage” (specifically “localStorage”) and “Internal Storage”, to make interactions with our services more convenient, efficient and secure. For example, we may use these technologies to keep you signed in and to remember your preferences with regard to our services.",325,<first>,<what>
Cookies,Cookies,100.0,2573,main,"As such, cookies and the related technologies are essential for the operation of our services. You therefore consent to our use of cookies and related technologies when using our services. Without these technologies, use of our services would not be reasonably possible.",270,<first>,<what>
Cookies,Cookies,100.0,2573,main,"Your web browser or operating system usually provides means to delete such data currently stored on your device. They may even provide methods to disable the use of such technologies completely. You are welcome to make use of these settings and features of your web browser or operating system, but that may prevent our services from working correctly for you. For more information on how to delete such data currently stored on your device, please refer to the manual or help section of your web browser or operating system.",525,<first>,<what>
Information we collect and why we collect it,Information we collect and why we collect it,100.0,4257,main,Information we collect and why we collect it,44,<first>,<what>
Ads via Google AdMob,Ads via Google AdMob,100.0,4302,sub,Ads via Google AdMobWe use Google AdMob and the Google Mobile Ads SDK for Android to show you ads within the application.,121,<first>,<what>
Required,Required,100.0,4425,sub,Required:yes,12,<first>,<error>
Lawful basis,Lawful basis,100.0,4439,sub,Lawful basis:legitimate interests,33,<first>,<error>
Internet Protocol (IP) address for each access,Internet Protocol (IP) address for each access,100.0,4474,sub,Internet Protocol (IP) address for each accessRequired:yes,58,<first>,<what>
Approximate location of device,Approximate location of device,100.0,4535,sub,Approximate location of deviceRequired:yes,42,<first>,<what>
Interactions with application,Interactions with application,100.0,4580,sub,Interactions with applicationRequired:yes,41,<first>,<what>
Identifier of device,Identifier of device,100.0,4624,sub,Identifier of deviceRequired:yes,32,<first>,<what>
Diagnostics data for application,Diagnostics data for application,100.0,4659,sub,Diagnostics data for applicationRequired:yes,44,<first>,<what>
“Send to device” and “Receive from device”,“Send to device” and “Receive from device”,100.0,4706,sub,"“Send to device” and “Receive from device”When using the optional features “Send to device” or “Receive from device” in the “Sync” section to transfer your events between two devices, the following data is processed.Required:noLawful basis:consentWe use this information to provide and fulfill the specific services that you explicitly request.We use this information to personalize our services for you and to adjust them to your preferences.",443,<first>,<what>
Name of contact,Name of contact,100.0,5157,sub,Name of contactRequired:yes,27,<first>,<what>
Maximum retention time,Maximum retention time,100.0,5187,sub,Maximum retention time: 24 hours,32,<first>,<what>
Date of birth of contact,Date of birth of contact,100.0,5220,sub,Date of birth of contactRequired:yesMaximum retention time: 24 hours,68,<first>,<what>
Title of event in calendar,Title of event in calendar,100.0,5292,sub,Title of event in calendarRequired:yesMaximum retention time: 24 hours,70,<first>,<what>
Date of event in calendar,Date of event in calendar,100.0,5366,sub,Date of event in calendarRequired:yesMaximum retention time: 24 hours,69,<first>,<what>
Type of event in calendar,Type of event in calendar,100.0,5439,sub,Type of event in calendarRequired:yesMaximum retention time: 24 hours,69,<first>,<what>
Account type,Account type,100.0,5512,sub,Account typeRequired:yesMaximum retention time: 24 hours,56,<first>,<what>
Account ID,Account ID,100.0,5572,sub,Account IDRequired:yesMaximum retention time: 24 hours,54,<first>,<what>
Server logs,Server logs,100.0,5630,sub,"Server logsWhenever you access our services, including your access of any individual part or section of our services, we record certain information about the nature of your access. That information is never combined with information from other data sources and will not be associated with the identity of any account. However, we reserve the right to review the data retrospectively if there is specific evidence supporting the suspicion of a case of fraud or any other illegal activity or illegal use of our services.",518,<first>,<what>
Server logs,Server logs,100.0,5630,sub,"Required:yesLawful basis:legitimate interestsWe use this information for the provision, maintenance and administration of our services and to monitor and protect the security of our services.",191,<first>,<what>
HTTP request method for each access,HTTP request method for each access,100.0,6346,sub,HTTP request method for each accessRequired:yesMaximum retention time: 14 days,78,<first>,<what>
HTTP status code for each access,HTTP status code for each access,100.0,6428,sub,HTTP status code for each accessRequired:yesMaximum retention time: 14 days,75,<first>,<what>
Internet Protocol (IP) address for each access,Internet Protocol (IP) address for each access,100.0,6507,sub,Internet Protocol (IP) address for each accessRequired:yesMaximum retention time: 14 days,89,<first>,<how-gathered>
Referring site (URL) for each access,Referring site (URL) for each access,100.0,6600,sub,Referring site (URL) for each accessRequired:yesMaximum retention time: 14 days,79,<first>,<what>
Amount of data transferred for each access,Amount of data transferred for each access,100.0,6683,sub,Amount of data transferred for each accessRequired:yesMaximum retention time: 14 days,85,<first>,<what>
Date and time for each access,Date and time for each access,100.0,6772,sub,Date and time for each accessRequired:yesMaximum retention time: 14 days,72,<first>,<what>
Requested page (URL) for each access,Requested page (URL) for each access,100.0,6848,sub,Requested page (URL) for each accessRequired:yesMaximum retention time: 14 days,79,<first>,<what>
User-agent string for each access,User-agent string for each access,100.0,6931,sub,User-agent string for each accessRequired:yesMaximum retention time: 14 days,76,<first>,<what>
Mandatory disclosure,Mandatory disclosure,100.0,7011,main,"Mandatory disclosureLaws in the jurisdictions that we operate in may obligate us to disclose certain personal information or other information that we collect about our users to local law enforcement authorities.We may be compelled to such disclosure in response to a court order, a warrant or a similar request by a judicial body or a government agency, or when we believe in good faith that the disclosure is reasonably necessary to protect our rights or property, that of any third party, or the safety of the general public.",528,<region>,<other>
Mandatory disclosure,Mandatory disclosure,100.0,7011,main,"In any case, we will provide data only to the extent necessary to satisfy the request, and, whenever possible and legally permitted, we will make a reasonable effort to notify affected users of any such disclosure.",214,<region>,<other>
