decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Browser Lite AppSkip to main contentSearch This BlogBrowser Lite AppPosts,73,<error>,<error>
Privacy Policy,Privacy Policy,100.0,78,main,"Privacy PolicyGet linkFacebookTwitterPinterestEmailOther AppsMarch 17, 2022Privacy Policy ",90,<generic>,<error>
"This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.","This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",100.0,176,sub,"This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service. ",161,<generic>,<error>
"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy.","If you choose to use my Service, then you agree to the collection and use of information in relation to this policy.",100.0,337,sub,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. ",117,<first>,<error>
The Personal Information that I collect is used for providing and improving the Service.,The Personal Information that I collect is used for providing and improving the Service.,100.0,454,sub,The Personal Information that I collect is used for providing and improving the Service. ,89,<first>,<error>
I will not use or share your information with anyone except as described in this Privacy Policy.,I will not use or share your information with anyone except as described in this Privacy Policy.,100.0,543,sub,I will not use or share your information with anyone except as described in this Privacy Policy. ,97,<first>,<error>
"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which are accessible at All Apps unless otherwise defined in this Privacy Policy.","The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which are accessible at All Apps unless otherwise defined in this Privacy Policy.",100.0,640,sub,"The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which are accessible at All Apps unless otherwise defined in this Privacy Policy. ",175,<first>,<error>
Information Collection and Use,Information Collection and Use,100.0,815,main,Information Collection and Use ,31,<first>,<error>
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information.","For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information.",100.0,846,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information. ",132,<first>,<error>
The information that I request will be retained on your device and is not collected by me in any way.,The information that I request will be retained on your device and is not collected by me in any way.,100.0,978,sub,The information that I request will be retained on your device and is not collected by me in any way.,101,<first>,<error>
The app does use third-party services that may collect information used to identify you.," The app does use third-party services that may collect information used to identi
Read ",93.18181818181819,1079,sub, The app does use third-party services that may collect information used to identiRead morePowered by BloggerTheme images byMichael ElkanLive Score Live Match 2021Visit profileArchiveMarch 20221Report Abuse,206,<third>,<error>
