decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Statement,Privacy statement,100.0,0,main,Privacy statement mobile-pocket loyalty card app,48,<generic>,<error>
For Businesses,For Businesses,100.0,49,main,For BusinessesToggle navigation,31,<generic>,<error>
Features,Features,100.0,82,main,Features,8,<generic>,<error>
FAQs,FAQs,100.0,91,main,FAQs,4,<generic>,<error>
News & blog,News & blog,100.0,96,main,News & blog,11,<generic>,<error>
For Businesses,For Businesses,100.0,108,main,For Businesses,14,<generic>,<error>
US - GB,US - GB,100.0,123,main,US - GB,7,<region>,<error>
AT - DE,AT - DE,100.0,131,main,AT - DE,7,<region>,<error>
US - GB,US - GB,100.0,139,main,US - GB,7,<region>,<error>
Privacy Statement mobile-pocket App,Privacy Statement mobile-pocket App,100.0,147,main,Privacy Statement mobile-pocket App,35,<generic>,<error>
Status: March 2020,Status: March 2020,100.0,183,main,Status: March 2020,18,<change>,<when>
"In this privacy statement for mobile-pocket we will inform you about the ways in which we process your personal data, to whom we, if necessary, transfer this and how you can assert your rights.","In this
privacy statement for mobile-pocket
we will inform you about the ways in which we process your personal data, to whom we, if necessary, transfer this and how you can assert your rights.",98.96373056994818,202,main,"In thisprivacy statement for mobile-pocketwe will inform you about the ways in which we process your personal data, to whom we, if necessary, transfer this and how you can assert your rights. In section A (General) you can find general information with regard to data protection and to the purpose of our data processing, and in section B (Data processing in the mobile-pocket app",380,<generic>,<error>
"In this privacy statement for mobile-pocket we will inform you about the ways in which we process your personal data, to whom we, if necessary, transfer this and how you can assert your rights.","In this
privacy statement for mobile-pocket
we will inform you about the ways in which we process your personal data, to whom we, if necessary, transfer this and how you can assert your rights.",98.96373056994818,202,main,) you can find additional information concerning the processing of your personal data that is carried out during the use of our app as well as concerning your rights.,166,<generic>,<error>
A. General,A. General,100.0,753,main,A. General,10,<first>,<other>
Data controller and processor,Data controller and processor,100.0,764,sub,Data controller and processor,29,<first>,<what>
"Data controller for the processing of personal data in connection with mobile-pocket is bluesource – mobile solutions GmbH, Softwarepark 32, 4232 Hagenberg i.M., Austria, (“bluesource”, “we” or “us”).","
Data controller for the processing of personal data in connection with mobile-pocket is bluesource – mobile solutions GmbH, Softwarepark 32, 4232 Hagenberg i.M., Austria, (
„bluesource“
,
„we“
or
„us",94.0,793,sub,"Data controller for the processing of personal data in connection with mobile-pocket is bluesource – mobile solutions GmbH, Softwarepark 32, 4232 Hagenberg i.M., Austria, („bluesource“,„we“or„us“).",197,<first>,<error>
"If you have any questions or concerns with regard to data protection and the assertion of your rights (section B), you can for instance contact our company´s data protection officer: bluesource – mobile solutions GmbH, Softwarepark 32, 4232 Hagenberg i.M., Austria with the addition “c/o data protection officer” or via e-mail to: datenschutz(at)mobile-pocket.com","If you have any questions or concerns with regard to data protection and the assertion of your rights (section B), you can for instance contact our
company´s data protection officer
: bluesource – mobile solutions GmbH, Softwarepark 32, 4232 Hagenberg i.M., Austria with the addition „c/o data protection officer“ or via e-mail to:
datenschutz(at)mobile-pocket.co",98.07162534435263,998,sub,"If you have any questions or concerns with regard to data protection and the assertion of your rights (section B), you can for instance contact ourcompany´s data protection officer: bluesource – mobile solutions GmbH, Softwarepark 32, 4232 Hagenberg i.M., Austria with the addition „c/o data protection officer“ or via e-mail to:datenschutz(at)mobile-pocket.com",361,<choice>,<error>
For what purposes do we process your data and on which legal basis?,For what purposes do we process your data and on which legal basis?,100.0,1363,sub,For what purposes do we process your data and on which legal basis?,67,<first>,<why>
