decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY,Privacy Policy,100.0,0,main,"Privacy Policy | Tandem - Speak Any LanguageFind a tandemBrazilFranceGermanyItalyJapanMexicoRussiaUnited KingdomUnited StatesSee more countriesBlogDownloadLog InSign upmenuclosePrivacy policyLast updated: 08.05.2022Welcome to our privacy policy! It is detailed… but we’d recommend you read it in full so you know exactly what we do with data here at Tandem. If you’re pressed for time, here are the key points:",410,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"We don’t monitor, record or store the contents of your audio calls, video calls or Tandem Party conversations.We do store messages, message information like timestamps and your Topics, but these will not be shared with any third parties unless required by law.You can download, edit or permanently delete your personal data at any time.Your personal data is accessed through the “My Profile” tab.We keep your data on secured and restricted database servers.",457,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,We do everything we can to keep your data secure and encrypted between your device and our servers. Tandem is a global community and we may store data on servers outside your home country. Please note that encryption is not supported in China.We reserve the right to restrict access to Tandem in the event of misconduct.,320,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,Providing a safe and friendly community for language learners is our top priority. We therefore take reports of abuse very seriously. Reports of misconduct on Tandem are reviewed by human moderators and can lead to a ban from our app. Please note that you can choose to share messages with our moderators only as part of the reporting process.PRIVACY POLICY,357,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,"This statement details how we handle personal data here at Tandem, if you use our mobile apps or website. We are respectful of the data that is shared with us by our members and take protecting it very seriously.Tandem is made in Germany and as a company based in the European Union we are firmly committed to meeting and often exceeding European data protection standards for all our members wherever possible.",411,<generic>,<error>
PRIVACY POLICY,Privacy Policy,100.0,0,main,Please take the time to read these details to fully understand how we handle your data and keep it safe.,104,<generic>,<error>
Contact,Contact,100.0,2092,main,"ContactTripod Technology GmbHRepresented by Arnd Aschentrup and Tobias DickmeisBölschestr 2130173 HannoverGermanyYou can reach out to us directly viasupport@tandem.net.External Data Protection OfficerePrivacy GmbHRepresented by Prof. Dr. Christoph BauerGroße Bleichen 2120354 HamburgFor all requests concerning the security of your data, please contact our privacy team and our data protection officer atprivacy@tandem.net.",423,<contact>,<error>
Contact,Contact,100.0,2092,main,"If you have a particularly sensitive request, please contact our data protection officer by postal mail, as communication by email can always be flawed by security vulnerabilities.",180,<contact>,<error>
Personal Data,Personal Data,100.0,2713,main,"Personal DataPersonal data is all information about identified or identifiable person. This includes the following categories of personal data that we process:Your contact details (such as first and last name, address, email address, phone number), Your last name will never be shared with other Tandem members by us,Information within your profile (such as your age, gender, city),Information you share within your messages (images, voice messages, comments, correction, topics),Your correspondence with us,",508,<first>,<error>
Personal Data,Personal Data,100.0,2713,main,"Log files with information about your visit to our website and apps,Online identifiers (such as cookie IDs, IP addresses, advertising IDs),Awards (such as language certificates).",178,<first>,<error>
Purposes of Use,Purposes of Use,100.0,3408,main,"Purposes of UsePersonal data will only be collected by us to the extent and for the purpose for which you provide the data to us, e.g. for registering an account.We use and store your personal data as part of our services for the following purposes:To create a public user profile for you on Tandem;To provide a curated community just for language learners, where access is restricted to members only. We take best efforts to prevent abuse and ban offenders, as soon as we are made aware;",488,<first>,<error>
Purposes of Use,Purposes of Use,100.0,3408,main,"To send information relevant to the service, e.g. via email or push notification (e.g. updates on your membership status, missed calls/messages, new followers);To target ads in the app (this can be turned off in settings);To find Tandem partners nearby;To understand how Tandem is used and optimize the service;To help keep our community safe, friendly and accountable in both one-on-one chats, parties and group chats;For corresponding with you;For processing contracts with you;",480,<first>,<error>
Purposes of Use,Purposes of Use,100.0,3408,main,For advertising purposes such as the dispatch of our newsletter;On quality assurance and statistics;For your participation in our competitions;For your participation in our events;For your participation in our surveys;To consider your application for membership and for community moderation;In order to improve our service.,323,<first>,<error>
Legal Basis,Legal Basis,100.0,4718,main,"Legal BasisYour data is processed according to the following legal provisions:With regard to data communicated in forms, etc. with your consent, Art. 6(1) (a) GDPR;With regard to services you use for the performance of a contract, Art. 6(1) (b) GDPR;The fulfilment of legal obligations, Art. 6(1) (c) GDPR),With regard to messages you share with your Tandem partners, both in one-on-one chats, Tandem Parties and group chats, based on their ",441,<first>,<error>
Legitimate Interests,legitimate interests,100.0,5164,main,"legitimate interests, Art 6(1)(f) GDPR.Otherwise, with particular regard to statistical data and online identifiers based on legitimate interests, Art 6(1)(f) GDPR (see below).Legitimate InterestsWhen processing your data, we pursue the following legitimate interests:Providing and improving our service;Protecting against misuse;Statistics and service analytics.",363,<first>,<error>
Data Sources,Data Sources,100.0,5534,main,"Data SourcesUnless otherwise specified, we obtain the data from you (including via devices used by you).",104,<first>,<error>
Data Transfer to Third Countries,Data Transfer to Third Countries,100.0,5640,main,Data Transfer to Third CountriesTandem is a worldwide service. Data is transferred to third countries outside your home country and outside the European Union. This is done on the basis of contractual regulations stipulated by law that ensure appropriate protection of your data and that are available for you to view on request.,329,<third>,<error>
Retention Period,Retention Period,100.0,5971,main,"Retention PeriodWe retain your data:If you have consented to this as part of processing, until such time as you withdraw your consent (e.g. by deleting your account);If we need the data to fulfil an agreement, until such time as the contractual relationship with you ceases or legal retention periods expire;If we use the data on the basis of a legitimate interest, until such time as your overriding interest obliges us to delete or anonymize them;",449,<retention>,<error>
Retention Period,Retention Period,100.0,5971,main,"Please note that while your personal data will be deleted if you delete your account, we will retain the messages you’ve sent in your Tandem Partners mailbox;If you delete your account, we will continue to store your email address linked to your account so we can handle any conversation deletion requests after you have deleted your account;",342,<retention>,<error>
Retention Period,Retention Period,100.0,5971,main,"Additionally, we will also continue to store your Tandem ID, and will use this to identify accounts and delete messages for members who sign up with Apple ID and chose not to share their email address with us.",209,<retention>,<error>
Data Protection,Data Protection,100.0,6979,main,"Data ProtectionWe have taken extensive technical and organizational measures to secure your data against potential risks, such as unauthorized login or access, unauthorized perusal, amendment or distribution, and against loss, deletion or misuse.In order to protect your personal data against unauthorized access by third parties when being transmitted, we secure data transmissions, if necessary, using SSL and TLS encryption. This is a standard encryption procedure for online and mobile services, particularly for the Internet. Encryption is not supported in China.",568,<security>,<error>
Data Protection,Data Protection,100.0,6979,main,"Regarding video and audio chats as well as Tandem Parties: we will not monitor, record or broadcast video and audio chat sessions at any time. However, we cannot prevent your chat partners from broadcasting live or recorded chat sessions without your or our permission through third party websites or services. We recommend that you exercise caution in disclosing any information, personal or otherwise, during a video or chat session.",435,<security>,<error>
Our Policy on Children’s Information,Our Policy on Children’s Information,100.0,7986,main,"Our Policy on Children’s InformationChildren under 14 are not allowed to use Tandem. If you are based in the European Economic Area (EEA), you may only use Tandem if you are over the age at which you can provide consent to data processing under the laws of your country or if verifiable parental consent for your use of Tandem has been provided to us. If you are a parent and you learn that your child is using Tandem and you don’t want them to, please contact  (support@tandem.net).",483,<audience>,<error>
Cookies,Cookies,100.0,8473,main,"CookiesCookies and similar technologies are very small text documents or pieces of code that often contain a unique identification code. When you visit a website or use a mobile application, a computer asks your computer or mobile device for permission to save this file on your computer or mobile device and gain access to information. Information collected through cookies and similar technologies may include the date and time of the visit and how you use a particular website or mobile application.",502,<tracking>,<error>
Cookies,Cookies,100.0,8473,main,"We need cookies to: (a) remember information so that you will not have to re-enter it during your visit or the next time you visit the site; (b) provide custom, personalized content and information; (c) to provide and monitor the effectiveness of our Service; (d) to monitor and aggregate metrics such as total number of visitors, traffic, and demographic patterns; (e) to diagnose or fix technology problems; (f) to help you efficiently access your information after you sign in; (g) to keep you logged in; and (h) to keep the Tandem community safe for members.",562,<tracking>,<error>
Cookies,Cookies,100.0,8473,main,Switching off or revoking cookie consent:,41,<tracking>,<error>
Cookies,Cookies,100.0,8473,main,"You can choose to opt-out of all but the necessary cookies. In the settings of the browser, you can change the settings to ensure that cookies will be blocked. Most browsers provide you with an explanation on how to do this in the so-called ‘help-function’. However, if you block the cookies, it is possible that you will not be able to enjoy all the technical features our website has to offer, and it may negatively affect your user experience. You can change your cookie consent on the Tandem website by clicking the “Change your cookie consent” button at the bottom of this page.",583,<tracking>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"Data RecipientsWe use your personal information only within the company and forward it only to those companies that are involved in performing the contracts concluded with you or otherwise involved in providing the relevant service.We forward the following customer data to third parties:To analyze how Tandem is used by our members and optimize the service and design, pseudonymous usage and personal data is shared with Google Analytics, Firebase Analytics, New Relic, Rubyspark Labs and Rubylight Limited.",508,<third>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"To communicate information relevant to the service via email or push notification, names, device IDs, email addresses and other personal information may be shared with Amazon Pinpoint (https://aws.amazon.com/pinpoint/), Interable and Sparkpost (https://sparkpost.com). You can control what type of messages you receive in the profile settings, switch off push notifications for Tandem completely in your device settings and unsubscribe from email notifications in each individual email.",486,<third>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"With your explicit consent, in order to make ads more personal, we may share personal but anonymized information, such as age and gender as well as device identifiers with Admob by Google, MoPub and Facebook Audience Network. iOS and Android devices have a resettable advertising identifier that companies can use to target ads based on the apps you use.",354,<third>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"Both iOS and Android devices allow you to opt out of the use of mobile advertising identifiers for purposes of showing you targeted ads. For iOS, go to your iOS device settings and turn on the “limit ad tracking” setting. For Android, turn on “opt out of ads personalization” in your Android device settings.We create Tandem member profiles based on your login data and also use these profiles and the information they contain, provided by you, for the following purposes:",472,<third>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"We create a public member profile for you on Tandem so that members can find the most relevant language exchange partners to communicate with. While some elements of your profile, including your first name, age, profile picture, language settings, profile answers, current city, time zone and Topics are public, only verified community members can contact you via the Tandem app. We never show your email address, exact location and last name, or any information you have chosen not to share in your profile settings to other members.",534,<third>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"We store applications for membership in the community, including your personal data for a minimum of seven days. After that period, you can permanently delete all personal data from Tandem using the “Delete My Application” button in the app.In order to keep Tandem a safe place for language learners, we take violations of our community rules very seriously. Therefore, we may retain anonymous personal identifiers for up to 24 months and might prevent access to the community on this basis during this period.",510,<third>,<error>
Data Recipients,Data Recipients,100.0,10166,main,"Otherwise, your personal information will not be forwarded to third parties unless you have given your express consent for this or unless we are obliged to disclose it – for example, at the direction of a court or administrative authority.To provide the functionality and for usage analytics and marketing purposes, we record information about activities on our apps and websites (e.g. clicks, screens viewed, pages visited).",425,<third>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,"Registration and AuthenticationBy registering or authenticating, users allow Tandem to identify them securely and give them access to its services. Depending on what is described below, third parties may provide registration and authentication services. In this case, Tandem will be able to access some data stored by these third-party services for registration or identification purposes, with the user’s explicit consent:",423,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,"Facebook Authentication (Meta, Inc.): Facebook Authentication is a registration and authentication service provided by Facebook, Inc. and is connected to the Facebook social network. The personal data collected is various types of data as specified in the privacy policy of the service. Place of processing: United States –Privacy Policy.",338,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,"Firebase Authentication (Google Inc.): Firebase Authentication is a registration and authentication service provided by Google Inc. To simplify the registration and authentication process, Firebase Authentication can make use of third-party identity providers and save the information on its platform. Personal Data collected: phone number. Place of processing: United States –Privacy Policy.",392,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,Google OAuth (Google Inc.): Google OAuth is a registration and authentication service provided by Google Inc. and is connected to the Google network. Personal Data collected: various types of data as specified in the privacy policy of the service. Place of processing: United States –Privacy Policy.,299,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,Weibo (Sina.com): Weibo is a registration and authentication service provided by Sina.com and is connected to the Sina Weibo social network and SDK. Personal Data collected: various types of data as specified in the privacy policy of the service. Place of processing: China –Privacy Policy,289,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,WeChat (Tencent Inc.): WeChat Auth is a registration and authentication service provided by Tencent Inc. and is connected to the WeChat network and SDK. Personal Data collected: various types of Data as specified in the privacy policy of the service. Place of processing: Canada and Hong Kong –Privacy Policy,308,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,"Sign in with Apple (Apple Inc.): Sign in with Apple is a registration and authentication service provided by Apple Inc. In cases where Users are required to provide their email address, Sign in with Apple may generate a private relay address on behalf of Users that automatically forwards messages to their verified personal email account - therefore shielding their actual email address from the Owner. Personal Data processed: email address; first name; last name; User ID. Place of processing: United States –",512,<access>,<error>
Registration and Authentication,Registration and Authentication,100.0,13468,main,Privacy Policy.,15,<access>,<error>
Hosting and Backend Infrastructure,Hosting and Backend Infrastructure,100.0,16062,main,"Hosting and Backend InfrastructureThis type of service has the purpose of hosting data and files that enable Tandem to run and be distributed, as well as providing a ready-made infrastructure to run specific features or parts of Tandem. Some of these services work through geographically distributed servers, making it difficult to determine the actual location where personal data is stored.",392,<access>,<error>
Hosting and Backend Infrastructure,Hosting and Backend Infrastructure,100.0,16062,main,"Amazon Web Services (AWS) (Amazon Web Services, Inc.): Amazon Web Services is a hosting and backend service provided by Amazon.com Inc. A wide range of Personal Data, including sign-in data, images and message content is stored on AWS infrastructure as Tandem’s main hosting and infrastructure provider. Place of processing: Germany and the United States –Privacy Policy.",371,<access>,<error>
Hosting and Backend Infrastructure,Hosting and Backend Infrastructure,100.0,16062,main,Google Cloud Platform (Google Inc.): Google Cloud Platform is a hosting and backend service provided by Google Inc. Personal Data collected: various types of data as specified in the privacy policy of the service. Place of processing: United States –Privacy Policy.,265,<access>,<error>
Hosting and Backend Infrastructure,Hosting and Backend Infrastructure,100.0,16062,main,CDS Global Cloud (Beijing CapitalOnline Data Service): CDS Global Cloud is a specialized international provider of hosting services. At Tandem we use CDS to optimize the speed and reliability of data transmission from or to Mainland China. Place of Processing: European Union -Privacy Policy.,292,<access>,<error>
Handling Payments,Handling Payments,100.0,17393,main,"Handling PaymentsPayment processing services enable Tandem to process payments. To ensure greater security, Tandem does not process or store credit card details, and uses only the information necessary to execute the transaction with the financial intermediaries handling the transaction.Some of these services may also enable the sending of timed messages to you, such as emails containing invoices or notifications concerning the payment.",440,<access>,<error>
Handling Payments,Handling Payments,100.0,17393,main,"Payments processed via the Apple App Store (Apple Inc.): Tandem uses a payment service provided by Apple Inc. that allows the Owner to offer the purchase of the app itself or in-app purchases. Personal Data processed to complete the purchases are processed by Apple, as described in theprivacy policy for the App Store. Personal Data processed: payment data. Place of processing: United States –Privacy Policy.",410,<access>,<error>
Handling Payments,Handling Payments,100.0,17393,main,"Payments processed via the Google Play Store (Google Ireland Limited): Tandem uses a payment service provided by Google Ireland Limited that allows the Owner to offer the purchase of the app itself or in-app purchases. Personal Data processed to complete the purchases are processed by Google, as described in theprivacy policy for the Google Play Store. Personal Data processed: payment data. Place of processing: Ireland –Privacy Policy.",439,<access>,<error>
Infrastructure Monitoring,Infrastructure Monitoring,100.0,18695,main,"Infrastructure MonitoringThis type of service allows Tandem to monitor the use and behavior of its service components, so its features, performance, operation, maintenance and troubleshooting can be improved. Which Personal Data are processed depends on the characteristics and mode of implementation of these services, whose function is to filter the activities of Tandem.",373,<access>,<error>
Infrastructure Monitoring,Infrastructure Monitoring,100.0,18695,main,"Crashlytics (Google Inc.): Crashlytics is a monitoring service provided by Google Inc. to enable Tandem to improve the stability of the app and reduce app crashes. Personal Data collected: geographic position, unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and various types of data as specified in the privacy policy of the service. Place of processing: United States  –Privacy Policy.",425,<access>,<error>
Infrastructure Monitoring,Infrastructure Monitoring,100.0,18695,main,"Firebase Crash Reporting (Google Inc.): Firebase Crash Reporting is a monitoring service provided by Google, Inc. to improve the stability of the app and reduce app crashes. Personal Data collected: various types of data as specified in the privacy policy of the service. Place of processing: United States –Privacy Policy.",323,<access>,<error>
Infrastructure Monitoring,Infrastructure Monitoring,100.0,18695,main,"Firebase Performance Monitoring (Google Inc.): Firebase Performance Monitoring is a monitoring service provided by Google, Inc. Personal Data collected: various types of data as specified in the privacy policy of the service. Place of processing: United States  –Privacy Policy.",278,<access>,<error>
