decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,We care about your privacyEnglishFranÃ§aisEspaÃ±olDeutschà¸ à¸²à¸©à¸²à¹„à¸—à¸¢æ—¥æœ¬èªžPÑƒÑÑÐºÐ¸Ð¹ ÑÐ·Ñ‹ÐºBahasa IndonesiaItalianoPortuguÃªsNederlandsTiáº¿ng Viá»‡tCatalÃTÃ¼rkÃ§eFilipinoà¦¬à¦¾à¦‚à¦²à¦¾à¤¹à¤¿à¤¨à¥à¤¦à¥€ç¹é«”ä¸­æ–‡×¢×‘×¨×™×ªÙØ§Ø±Ø³ÛŒBahasa Melayuà¨ªà©°à¨œà¨¾à¨¬à©€Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©ç®€ä½“ä¸­æ–‡í•œêµ­ì–´MagyarÐ£ÐºÑ€Ð°Ñ—Ð½ÑÑŒÐºÐ° Ð¼Ð¾Ð²Ð°Î•Î»Î»Î·Î½Î¹ÎºÎ¬PolskiRomÃ¢nÄƒ,385,<error>,<error>
Privacy Policy,Privacy Policy,100.0,416,main,"Privacy PolicyContact usPrivacy PolicyMenu▾Privacy PolicyCookiesContact usWe care about your privacyWe respect your privacy second to none. We do not send spam and we never sell or share our user's data.As a temporary exception:For the first time, SimDif is using FaceBook to promote our app and service and we are going to be using the FaceBook Pixel for the next two months.This does not concern you if you already have an account with SimDif. This is just an update to let you know!",485,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,416,main,"If you happen to see our campaigns, please help us to share them and spread the word of SimDif 2. Cheers!Â  ;-)- - - - - - - - - -",130,<generic>,<error>
Use of personal data,Use of personal data,100.0,1046,main,Use of personal data,20,<generic>,<other>
Private information,Private information,100.0,1067,sub,"Private information like your email address is used exclusively to register your account and keep a direct channel of communication between yourself and the SimDif team. As part of our Ethics, we donâ€™t share or sell your information to any other party.When you create a site with SimDif we host and store that site and its content on our servers. The content of your website is owned by you and you are responsible for it.Â",425,<first>,<what>
Private information,Private information,100.0,1067,sub,"If you stop using SimDif (by not renewing a Pro subscription for more than 90 days, or not publishing your free Starter site for over 365 days) we will erase all of your data and the content of your site(s) from our servers. We do not keep the data of users who aren't using SimDif anymore and we do not store information without making you aware of it. The only information that we are legally obliged to store is kept in our offline records. This is for the accounting records to see a trace of our transactions.",514,<first>,<what>
Private information,Private information,100.0,1067,sub,"Donâ€™t worry, we do not have access to your credit card number, or banking information.",88,<first>,<what>
Modification of your personal data,Modification of your personal data,100.0,2098,main,"Modification of your personal dataIn Account Preferences, the blue icon in the top left of the app, you will find â€˜",117,<first>,<why>
Change Email Address,Change Email Address,100.0,2216,sub,Change Email Addressâ€™ and â€˜,31,<first>,<how-gathered>
Personal Data,Personal Data,100.0,2247,sub,Personal Dataâ€™. From these places you can modify the email address linked to your SimDif account and edit your personal data.,127,<first>,<what>
Password encryption,Password encryption,100.0,2375,main,Password encryptionWe store your password in a heavily encrypted form. We can not see your password or get into your account unless you entrust us with your password.,166,<security>,<how-used>
Security and anti-hacking measures,Security and anti-hacking measures,100.0,2543,main,"Security and anti-hacking measuresWe keep the software on our servers up to date, passwords are well encrypted, and we do not keep any data of past users. All of this makes SimDif much less attractive to hackers and increases the security for active users.ÂWhat kind of cookies can be found on a SimDif site?",308,<security>,<how-used>
Use of cookies,Use of cookies,100.0,2854,main,"Use of cookiesA cookie is a little piece of code that is loaded with a website and will often stay in the memory of your browser after you have left the site.When visiting the Simple Different website we use cookies for your convenience, for example when you exit the SimDif site your choice of language will be remembered. We do not share any information with other services like some social networks or online supermarkets who are using cookies to resell your data to advertisement agencies.",493,<third>,<how-gathered>
Use of cookies,Use of cookies,100.0,2854,main,"Other services used on the site like Google Analytics use cookies to record information about your navigation on the website. For example, the pages visited and the date and time they were visited. These cookies do not record your personal informa",247,<third>,<how-gathered>
What kind of cookies can be found on a SimDif site?,"tion.
What Cookies can be present on a SimDif site?",76.47058823529412,3597,sub,tion.,5,<third>,<error>
What Cookies can be present on a SimDif site?,What Cookies can be present on a SimDif site?,100.0,3603,main,What Cookies can be present on a SimDif site?It depends on the services used on the site:,89,<third>,<error>
Google,Google,100.0,3694,sub,"Googleuses several cookies for their services, likeGoogle Maps,Google Analytics,Google recaptchaand alsoYoutube.",112,<third>,<other>
AddThis,AddThis,100.0,3816,sub,"AddThis, are the buttons facilitating the social sharing of this site, but it is also tracking the number of visitors on this very site.",136,<third>,<other>
Flickr,Flickr,100.0,3954,sub,"Flickr, if the author used one their pictures, Flickr places a simple tracker to show a link to the original picture.",117,<third>,<other>
PayPal,PayPal,100.0,4073,sub,PayPalalso use cookies if the author of the site uses their buttons and cart.It is virtually impossible for SimDif and the creator of this website to control what these cookies actually do. We assume that they also respect the European laws about use of data usage and data privacy (GDPR).You can read more about the GDPR here.Read more ...,340,<third>,<other>
Closing your account and erasing your data,Closing your account and erasing your data,100.0,4419,main,"Closing your account and erasing your dataIf you wish to close your account it is quick and painless. Do this via Site Settings in ""Unpublish or Eraseâ€ by clicking on Erase and following the instructions. After you erase your last remaining website with us your account will also be erased. None of your data will be kept on our servers, not even your email address.ÂHomeÂ Â Â Â Â Â Â Â           || Â  Â  Â  ÂF A QÂ Â Â Â Â Â Â Â           || Â  Â  ÂPro featuresÂ  Â  Â Â        || Â  Â  ÂAll guides",502,<choice>,<when>
Closing your account and erasing your data,Closing your account and erasing your data,100.0,4419,main,Made with SimDif,16,<choice>,<when>
