decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy - Root Checker by joeykrimPrivacy PolicyConway Enterprisesbuilt theRoot Checker appas a Commercial app.        TheRoot Checker app, here after referred to as a SERVICE, is provided by Conway Enterprises and is intended for use as is.This page is used to inform visitors regarding our policies with the collection, use, and disclosure of Personal Information.",373,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"If you choose to use our Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that we collect is used        for providing and improving the Service. We will not use or share your information with anyone except as described in this Privacy Policy.",312,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,697,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information","For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information",100.0,728,sub,"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information,        including but not limited to Internet Protocol (""IP"") address and/orAndroid Advertising ID.        ",239,<first>,<error>
The information that we request will be retained by us and used as described in this privacy policy,The information that we request will be retained by us and used as described in this privacy policy,100.0,971,sub,The information that we request will be retained by us and used as described in this privacy policy.The app does use third party services that may collect information used to identify you.,188,<first>,<error>
Links to privacy policies of third party service providers used by the app,Links to privacy policies of third party service providers used by the app,100.0,1161,main,Links to privacy policies of third party service providers used by the app,74,<third>,<error>
Google Play Services,Google Play Services,100.0,1236,sub,Google Play Services,20,<first>,<error>
AdMob,AdMob,100.0,1257,sub,AdMob,5,<first>,<error>
Firebase Analytics,Firebase Analytics,100.0,1263,sub,Firebase Analytics,18,<first>,<error>
Fabric,Fabric,100.0,1282,sub,Fabric,6,<first>,<error>
Facebook Audience Network,Facebook Audience Network,100.0,1289,sub,Facebook Audience Network,25,<first>,<error>
MoPub,MoPub,100.0,1315,sub,MoPub,5,<first>,<error>
Flurry,Flurry,100.0,1321,sub,Flurry,6,<first>,<error>
App Log Data,App Log Data,100.0,1328,main,"App Log DataWe want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products listed above) on your phone called App Log Data.        This App Log Data may include information such as your device Internet Protocol address,        device name, operating system version, the configuration of the app when utilizing our Service,        the time and date of your use of the Service, and other statistics.",486,<third>,<error>
Cookies,Cookies,100.0,1819,main,CookiesCookies are files with small amount of data that is commonly used an anonymous unique identifier. These are sent to your browser from the website that you visit and are stored on your device internal memory.,214,<third>,<error>
This Service does not use these “cookies” explicitly,This Service does not use these “cookies” explicitly,100.0,2035,sub,This Service does not use these “cookies” explicitly. ,54,<generic>,<error>
"However, the app may use third party code and libraries, listed above, that use “cookies” to collection information and to improve their services","However, the app may use third party code and libraries, listed above,
            that use “cookies” to collection information and to improve th",91.72413793103449,2089,sub,"However, the app may use third party code and libraries, listed above,            that use “cookies” to collection information and to improve their services. You have the option to either accept or refuse these cookies through the Disclaimer Dialog at first use and available under Settings and know when a cookie is being sent to your device.            If you choose to refuse our cookies, you may not be able to use some portions of this Service.",449,<third>,<error>
Service Providers,Service Providers,100.0,2541,main,Service ProvidersWe may employ third-party companies and individuals due to the following reasons:,98,<third>,<error>
To facilitate our Service,To facilitate our Service,100.0,2641,sub,To facilitate our Service;,26,<third>,<error>
To provide the Service on our behalf,To provide the Service on our behalf,100.0,2668,sub,To provide the Service on our behalf;,37,<third>,<error>
To perform Service-related services,To perform Service-related services,100.0,2706,sub,To perform Service-related services; or,39,<third>,<error>
To assist us in analyzing how our Service is used,To assist us in analyzing how our Service is used,100.0,2746,sub,"To assist us in analyzing how our Service is used.We want to inform users of this Service that these third parties might have access to your          Internet Protocol address and/orAndroid Advertising ID.          The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",371,<third>,<error>
Security,Security,100.0,3123,main,"SecurityWe value your trust in providing us your with your Internet Protocol address and/orAndroid Advertising ID, thus we are striving          to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee its absolute security.",370,<security>,<error>
Links to Other Sites,Links to Other Sites,100.0,3498,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed            to that site. Note that these external sites are not operated by us. Therefore, we strongly            advise you to review the Privacy Policy of these websites. We have no control over            and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",446,<generic>,<error>
Children’s Privacy,Children’s Privacy,100.0,3949,main,"Children’s PrivacyThese Services do not address anyone under the age of 13. We do not knowingly collect            personally identifiable information from children under 13. In the case we discover that a child            under 13 has provided us with personal information, we immediately delete this from            our servers. If you are a parent or guardian and you are aware that your child has provided us with personal            information, pleasecontact us",467,<audience>,<error>
Children’s Privacy,Children’s Privacy,100.0,3949,main,so that we will be able to take the necessary actions.,54,<audience>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4478,main,"Changes to This Privacy PolicyWe may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes.            We will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.",322,<change>,<error>
Contact Us,Contact Us,100.0,4803,main,"Contact UsIf you have any questions or suggestions about our Privacy Policy, do not hesitate tocontact us.This privacy policy page was inspired by guidance provided fromprivacypolicytemplate.netandApp Privacy Policy Generator",225,<contact>,<error>
