decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Konga Online ShoppingSkip to main contentLoginSignupTrack OrdersView order statusPending Items0Pending itemSell on KongaJoin other merchantsPhysical StoresStores around youCategoriesComputers and AccessoriesPhones and TabletsElectronicsKonga FashionHome and KitchenBaby, Kids and ToysOther CategoriesGroceriesIntel 11th Gen CampaignContact UsStore LocatorSell on KongaHelpFAQsContact UsTrack My OrderLogin / SignupMy Cart0All CategoriesComputers and AccessoriesPhones and TabletsElectronicsKonga Fashion",503,<error>,<error>
,,-1.0,0,,"Home and KitchenBaby, Kids and ToysOther CategoriesCloseHome",60,<error>,<error>
Privacy Policy,Privacy Policy,100.0,606,main,"Privacy PolicyWe value the trust you place in konga.com. That's why we insist upon the highest standards for secure transactions and customer information privacy.Please read the following statement to learn about our information gathering and dissemination practices.Note: Our privacy policy is subject to change at any time without notice.To make sure you are aware of any changes, please review this policy periodically.Privacy PolicyTerms and ConditionPrivacy Policy",469,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,606,main,"Please read this Privacy Policy carefully as it will help you make informed decisions about sharing your personal information with us.Introduction:Konga.com is thoroughly committed to protecting the privacy of our site visitors and customers. We fully appreciate and respect the importance of privacy on the Internet. We respect each visitor's and customer's right to personal privacy. To this end, we collect and use information throughout our website only as disclosed in this Privacy Policy.",494,<generic>,<error>
What this Privacy Policy Covers,What this Privacy Policy Covers,100.0,1577,main,"What this Privacy Policy CoversHow we collect information from youHow we protect customers' informationHow we use the information, and share all personal information which you provide when you use our websitesGeneral information in line with extant laws and regulations.",270,<generic>,<error>
"This policy does not apply to the practices of third party agents, or people of which we do not exercise direct control, employment or management","This policy does not apply to the practices of third party agents, or people of which we do not exercise direct control, employment or management",100.0,1852,main,"This policy does not apply to the practices of third party agents, or people of which we do not exercise direct control, employment or management.1. ",149,<not>,<what>
Consent,Consent,100.0,2002,main,"Consent:By using this site, you have consented to our Privacy Policy and that you have the legal capacity to give consent. Otherwise, you may discontinue and log out at this stage.2. Collection of Personally Identifiable InformationWe collect personally identifiable information (including but not limited to email address, name, phone number, physical address, location, photo, banking details (when you make purchases), online identifiers, etc.) from you when you set up a free account with konga.com. While you can browse some sections of our site without being a registered member, certain activities (such as placing an order) do require registration.",656,<first>,<why>
Consent,Consent,100.0,2002,main,"We do use your contact information to send you offers based on your previous orders and your interests. The information and personal data are as freely provided by you to us using any technology at the material time e.g. JWT, web tokens etc.3. Use of Demographic and Profile Data",279,<first>,<why>
Consent,Consent,100.0,2002,main,"We use personal information to provide the services you request. To the extent we use your personal information to market to you, we will provide you the ability to opt-out of such uses. We use your personal information to resolve disputes; troubleshoot problems; help promote a safe service; collect fees owed; measure consumer interest in our products and services, inform you about online and offline offers, products, services, and updates; customize your experience; detect and protect us against error, fraud and other criminal activity; enforce our terms and conditions; and as otherwise described to you at the time of collection.",638,<first>,<why>
Consent,Consent,100.0,2002,main,"In our efforts to continually improve our product and service offerings, we collect and analyse demographic and profile data about our users' activity on our website.We identify and use your IP address to help diagnose problems with our server, and to administer our website. Your IP address is also used to help identify you and to gather broad demographic information.",370,<first>,<why>
Consent,Consent,100.0,2002,main,"We will occasionally ask you to complete optional online surveys. These surveys may ask you for contact information and demographic information (like location, local government area, age, or income level). We use this data to tailor your experience at our site, providing you with content that we think you might be interested in--and to display content according to your preferences.4. Cookies",394,<first>,<why>
Consent,Consent,100.0,2002,main,"We use cookies to collect information. A ""cookie"" is a small piece of information stored by a Web server on a Web browser so it can be later read back from that browser. Cookies are useful for enabling the browser to remember information specific to a given user. konga.com places both permanent and temporary cookies in your computer's hard drive. Konga.com's cookies do not contain any of your personally identifiable information or private data.",448,<first>,<why>
Consent,Consent,100.0,2002,main,"We use technology in the collecting the information in order to make our Sites and other content or services which we make available to you more interesting and useful to you. For instance, when you come to one of our Sites via your computer or other media device, we may combine your visitor session information or other information collected through cookies, web beacons and other technical methods with personally identifiable information in order to understand and improve your online experiences and to determine what products, promotions and services you prefer or are likely to be of interest to you.",607,<first>,<why>
Consent,Consent,100.0,2002,main,5. ,3,<first>,<why>
Governing Principles of Data Processing,Governing Principles of Data Processing,100.0,5410,main,"Governing Principles of Data Processinga. Your personal data on Konga.com shall be collected and processed in accordance with legitimate and lawful purpose consented to by you herein, provided that a further processing may be done only for archiving, scientific research, historical research or statistical purposes for public interest in line with extant regulations and laws.b. Personal data shall be adequate, accurate and without prejudice to the dignity of human person:",475,<first>,<what>
