decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,EnglishSearch this siteSkip to main contentSkip to navigationГлавнаяEnglishRussianSudoku 2Sudoku PremiumDivision calculator ,124,<error>,<error>
Privacy Policy,privacy policy,100.0,133,main,privacy policyEnglishRussianEnglish PRORussian PROFraction calculator Free privacy policyEnglishRussianEye exercises privacy policyEnglishRussianEnglish PRORussian PROPhrasebook privacy policyEnglishRussianEye exam privacy policyRussianEnglishRussian PROEnglish PROГлавнаяEnglishRussianSudoku 2Sudoku PremiumDivision calculator privacy policyEnglishRussianEnglish PRORussian PROFraction calculator Free privacy policyEnglishRussianEye exercises privacy policyEnglishRussianEnglish PRORussian PRO,495,<generic>,<error>
Privacy Policy,privacy policy,100.0,133,main,Phrasebook privacy policyEnglishRussianEye exam privacy policyRussianEnglishRussian PROEnglish PROMoreГлавнаяEnglishRussianSudoku 2Sudoku PremiumDivision calculator privacy policyEnglishRussianEnglish PRORussian PROFraction calculator Free privacy policyEnglishRussianEye exercises privacy policyEnglishRussianEnglish PRORussian PROPhrasebook privacy policyEnglishRussianEye exam privacy policyRussianEnglishRussian PROEnglish PROPrivacy Policy,444,<generic>,<error>
Privacy Policy,privacy policy,100.0,133,main,"This privacy policy applies to the following application (APP) developed by Andrew Brusentsov (DEVELOPER):Fraction calculator Free andrei.brusentcov.fractioncalculator.freeThis APP is provided by DEVELOPER at no cost and is intended for use as is without any guarantees.This page is used to inform users regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my APP.",423,<generic>,<error>
Privacy Policy,privacy policy,100.0,133,main,"If you choose to use my APP, then you agree to the collection and use of information in relation to this policy.This APP does not replace the advice of a doctor.",161,<generic>,<error>
Limitation of Liability,Limitation of Liability,100.0,1737,main,Limitation of Liability,23,<generic>,<other>
Limitation of Liability,Limitation of Liability,100.0,1737,main,"Your use of the APP is at your own risk. Neither DEVELOPER, its affilates, nor any of their respective officers, directors, employees, agents, or other representatives will be liable for any damages, whether direct, indirect, incidental, consequential, special, or punitive, including, without limitation, loss of data, income, profit or goodwill, loss of or damage to property, and claims of third parties arising out of your access to or use of the APP or arising out of any action taken in response to or as a result of any content or other information available on the service, however caused, whether based on breach of contract, tort (including negligence), proprietary rights infringement, product liability, or otherwise. The foregoing shall apply even if DEVELOPER was advised of the possibility of such damages. If you become dissatisfied in any way with the APP, your sole and exclusive remedy is to stop your use of the APP. You hereby waive any and all claims against DEVELOPER and its affiliates, agents, representatives, and licensors arising out of your use of the APP.",1085,<generic>,<other>
Information Collection and Use,Information Collection and Use,100.0,2847,main,"Information Collection and UseFor a better experience, while using our APP, I may require you to provide us with certain ",121,<first>,<why>
Personally Identifiable Information,personally identifiable information,100.0,2969,sub,personally identifiable information. Some personal information may be collected for advertising purposes.The APP does use third party services that may collect information used to identify you.,193,<first>,<what>
Link to privacy policy of third party service providers used by the APP,Link to privacy policy of third party service providers used by the APP,100.0,3164,main,Link to privacy policy of third party service providers used by the APP,71,<third>,<what>
