decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy and Terms of Use,privacy and terms of use,100.0,0,main,privacy and terms of useanalitiSpeed Test WiFi Analyzerphone_androidFor Phones & TabletstvFor Smart TVsprivacycontact usanaliti © 2016-2023privacy and terms of use,163,<generic>,<error>
Privacy Notice and Terms of Use,privacy notice and terms of use,100.0,174,main,privacy notice and terms of use,31,<generic>,<error>
What Data We Collect,what data we collect,100.0,206,main,what data we collectWe collect the following data when measuring the performance of your wireless Internet connection:,118,<first>,<what>
Time of Data Collection,Time of data collection,100.0,326,sub,Time of data collection,23,<first>,<how-gathered>
"Device Type, Manufacturer, Model and Operating System Version","Device type, manufacturer, model and operating system version",100.0,350,sub,"Device type, manufacturer, model and operating system version",61,<first>,<what>
Wireless Networks Data,Wireless networks data,100.0,412,sub,"Wireless networks data, for all WiFi and mobile networks seen by your device",76,<first>,<what>
Internet and Connectivity Performance Factors,Internet and connectivity performance factors,100.0,489,sub,Internet and connectivity performance factors - such a speeds and signal strength,81,<first>,<what>
How Collected Data May Be Used,how collected data may be used,100.0,571,main,how collected data may be usedThe data we collect may be used in various ways:,78,<first>,<how-used>
"Understanding, Fixing, Improving and Expanding the Functionality of Our Products","Understanding, fixing, improving and expending the functionality of our products",98.75,651,sub,"Understanding, fixing, improving and expending the functionality of our products",80,<first>,<why>
Providing You with Offers for Products and Services,Providing you with offers for products and services,100.0,732,sub,Providing you with offers for products and services that may improve your Internet connectivity,95,<first>,<why>
Expanding Our Knowledge of Internet Connectivity Performance,Expanding our knowledge of Internet connectivity performance,100.0,828,sub,Expanding our knowledge of Internet connectivity performance over wireless networks,83,<first>,<why>
Promoting Products and Services,Promoting products and services,100.0,912,sub,Promoting products and services by us or 3rd parties,52,<first>,<why>
Opting Out,opting out,100.0,965,main,opting outIf at any t,21,<choice>,<other>
If You Want to Stop Us from Collecting Data,ime you want to stop us from collecting dat,95.34883720930233,987,sub,"ime you want to stop us from collecting data, uninstall our products. Any data collected prior to the uninstall of our products will remain in our databases.",157,<choice>,<when>
If You Wish to Delete Previously Collected Data,If you wish we delete previously collected data,95.74468085106383,1145,sub,"If you wish we delete previously collected data - please provide us with relevant identities (e.g., analiti ID, e-mail address) so we could look it up and delete it as we find it in our databases.",196,<choice>,<when>
Advertising,advertising,100.0,1342,main,advertising,11,<third>,<other>
Advertising,advertising,100.0,1342,main,"Our products may contain or display advertisements for products, services or third parties. We are a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for us to earn fees by linking to Amazon.com and affiliated sites. The inclusion of advertising, logos or Web site links on our products does not constitute an endorsement of the products or services so advertised. We take no responsibility for a link's operation or content. We urge all users of our products to conduct their own investigation of any individual, organization, product or service advertised in our products or that is electronically linked to by our products.",697,<third>,<other>
Advertising,advertising,100.0,1342,main,"Our products and the information presented in them are provided ""AS IS"", without representations or warranties of any kind, whether express or implied. We disclaim any and all warranties with regard to our products and the information contained in them, including without limitation: (a) Any implied warranties or merchantability, fitness for a particular purpose, infringement or title; (b) Any warranty of quality, functionality, operability, use or performance of our products or the information presented in them; (c) Any warranty of the accuracy completeness or validity of data or information communicated through our products; (d) Any warranty of the continuous availability of our products or the information presented in them, or our products or the information presented in them will be uninterrupted or error-free; (e) Any warranty either expressly or by implication any individual, organization, product or service presented by our products or that is electronically linked to this site.",999,<third>,<other>
Limitation of Liability,limitation of liability,100.0,3052,main,limitation of liability,23,<not>,<other>
Limitation of Liability,limitation of liability,100.0,3052,main,"Under no circumstances, including, but not limited to negligence, shall we be liable for any special or consequential damages that result from the use of, or the inability to use, our products or the information presented in them, even if we or our authorized representative has been advised of the possibility of such damages. Applicable law may not allow the limitation or exclusion of liability or incidental or consequential damages, so the above limitation or exclusion may not apply to you. In no event shall our total liability to you for all costs, damages, losses, and causes of action (whether in contract, tort (including, but not limited to, negligence), or otherwise) exceed the amount paid by you and received by us, if any, for using our products.",762,<not>,<other>
