decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Notice,Privacy Notice,100.0,0,main,Privacy Notice | FreeviewSkip to main contentHeaderFind and watch TVTV GuideWhat's OnProductsHelpMobile AppGet Freeview PlayMenuPrivacy NoticeLast updated: 25 January 2023,171,<error>,<error>
Introduction,Introduction,100.0,184,main,"IntroductionYour privacy is important to us. This Privacy Notice explains what personal information Digital UK Limited and DTV Services Ltd (""Freeview"", “we”, “us” and “our”) collect about you (“you”) and what we do with it. Please take a few minutes to read it.This Privacy Notice applies to the personal information that we collect through (or relating to) your use of:our Freeview ""Digital Properties"", including our Freeview website atwww.freeview.co.uk",457,<error>,<error>
Introduction,Introduction,100.0,184,main,", our Freeview mobile application which may be accessed via your computer, tablet or mobile device and our Freeview Play Service (including the Explore Freeview Play application) which may be accessed via your connected TV; andour Freeview advice line, and our Facebook, Twitter and consumer help channels (the “Advice Lines”), which you may use to find out more about or troubleshoot/report an issue with our Digital Properties.",429,<error>,<error>
Introduction,Introduction,100.0,184,main,"To find out more, please continue reading or click on the link below to jump to the section you are interested in:Contents",122,<error>,<error>
What personal information do we collect about you and why?,What personal information do we collect about you and why?,100.0,1215,main,What personal information do we collect about you and why?Who do we share your personal information with?What legal grounds do we have to process your personal information?Is your personal information transferred to other countries?What cookies and similar technologies do we use?How long do we retain data for?What are your data protection rights?How is your data kept secure?Links to other websitesChanges to this Privacy NoticeHow to contact usWhat personal information do we collect about you and why?,505,<error>,<what>
What personal information do we collect about you and why?,What personal information do we collect about you and why?,100.0,1215,main,We may collect personal information about you in the following ways:,68,<error>,<what>
(i) Information you provide voluntarily,(i) Information you provide voluntarily,100.0,1802,sub,(i) Information you provide voluntarily,39,<error>,<how-gathered>
(i) Information you provide voluntarily,(i) Information you provide voluntarily,100.0,1802,sub,"We collect personal information that you provide to us voluntarily when using our Digital Properties or contacting us via our Advice Lines, email or post. This includes, for example, information you provide through our Digital Properties (such as your postcode for regionalised content or when you register check your Freeview coverage), when you sign up to our newsletter or personalised TV Guide, when you participate in discussion boards or Freeview social media functions, when you enter competitions, or when you otherwise contact us via post, email or the Advice Lines (for example, to report a problem with your Freeview service or Freeview Play product).",662,<error>,<how-gathered>
(i) Information you provide voluntarily,(i) Information you provide voluntarily,100.0,1802,sub,"The personal information that you are asked to provide, and the reasons why you are asked to provide it will be made clear to you at the point we ask you to provide it (such as to deal with your request or competition entry or to fix a problem you’re having with our Digital Properties).",287,<error>,<how-gathered>
(ii) Information that we collect automatically,(ii) Information that we collect automatically,100.0,2793,sub,"(ii) Information that we collect automaticallyWhen you use our Digital Properties, we may also collect certain information automatically from your device (which may include your computer, mobile, tablet device or connected TV depending on which Digital Property you are using).  In some countries, including countries in the European Economic Area and the UK, this information may be considered personal information under applicable data protection laws.",454,<error>,<how-gathered>
