decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy - myHomeworkmyHomework Student Planner and Digital Hall Pass systemmyHomework HomeAppsPricingSchoolsTeachersSign upLoginCompanyAboutBlogPressContactProductSchoolsTeachersPricingSupport / HelpAppsiPhoneiPadAndroid PhoneAndroid TabletMacChromebooksWindowsWebsiteLegalTerms of UsePrivacy Policy© 2023 instin, LLCPrivacy PolicyLast changed onMay 14th, 2018",367,<error>,<error>
The Basics,The Basics,100.0,402,main,"The BasicsThis document describes the privacy policy for myHomework. By using any of the myHomework applications or services you are agreeing to this policy, which is considered part of the myHomeworkterms of use.",213,<generic>,<error>
Secure Transport,Secure Transport,100.0,619,main,"Secure TransportWhen you sign into the myHomework website or sync your application(s) with the web, we useHTTPSto ensure your information is encrypted as it travels over the internet. If you're using a modern web browser, look for the green bar!",245,<security>,<other>
Information Collected During Signup,Information Collected During Signup,100.0,868,main,"Information Collected During SignupDuring the signup process for a myHomework account, we capture a few basic pieces of information about you.  Here is a description of each data element we ask for and why we ask for it:",220,<first>,<what>
Email,email,100.0,1090,sub,"emailIf you choose not to sign up with Facebook or Google there are a few different reasons we ask for your email address to create an account:We allow you to sign into myHomework applications with your email address because for most people it's easier to remember than a username.Should you forget your password, we can email you a link for resetting your password.So you can be notified should any settings on your account be changed.",436,<first>,<what>
Email,email,100.0,1090,sub,To make it easier to get Kiip rewards. Having your email address on your account means claiming a reward is usually as simple as pressing a button.We can let you know about updates to the myHomework apps and services and participate in surveys. You can unsubscribe from these types of emails from youremail settings.,316,<first>,<what>
Age / DOB,age / dob,100.0,1851,sub,age / dobYou must be at least 13 years old to create a myHomework account.What about younger students?,102,<audience>,<what>
Geographic Location,geographic location,100.0,1956,sub,"geographic locationWhen possible we attempt to capture your geographic location when you sign up for your account, sync with myhomeworkapp.com or make other interactions with the service. We do this to help filter content appropriate to your location, such as showing schools and teachers nearby. We also use location to help detect any invalid use of the myHomework applications and services.",393,<region>,<what>
Preferred Timezone,preferred timezone,100.0,2351,sub,"preferred timezoneWe attempt to capture your timezone when you create your account so that times are displayed in your timezone. When we're unable to determine your preferred timezone, we default to the ""US/Eastern"" timezone. You can change your timezone preference at any time by visiting yoursettings page.",308,<first>,<what>
Application,application,100.0,2663,sub,applicationThe application you use to sign up for an account or to use myHomework services is captured so that we know how to sync data between the application(s) you use and the website.,187,<first>,<what>
Device Information,device information,100.0,2852,sub,"device informationInformation about the device(s) you use to access the myHomework applications and services is captured to uniquely identify your devices for sync and to detect potential abuse of the system. This includes device identifiers, operating system versions, web browser information, ip addresses, device names and types.We use this information to help improve your myHomework experience. We willnot",410,<first>,<what>
Device Information,device information,100.0,2852,sub,"share this information with a 3rd party (such as a myHomework sponsor)or with other users in a way that reveals your identity  unless you tell us to or if we are required to by law. We hate spam as much as you do, so no need to worry about giving us your email address.",269,<first>,<what>
Passwords,Passwords,100.0,3536,main,"PasswordsYou can use your Facebook and/or Google account to sign into your myHomework account. For those without Facebook or Google accounts or those opting not to use either of those identities, you can enter a password when you create a myHomework account. Your myHomework password can be changed at any time by visiting yoursettings page. Keep in mind the following:It is important to choose a strong password that is not easy for a computer or someone that knows you well to guess.",485,<first>,<what>
Passwords,Passwords,100.0,3536,main,"The name of your pet, best friend or favorite sports team might not be a good choice.Adding non-number/non-letter characters such as @, ?, #, $, % or ^ can help make your password harder to guess, but also harder to remember. Using one or perhaps two of those characters might be a good idea.We block some extremely obvious passwords, such as ""123456"" or ""abcdef"". That is because computer ""hackers"" can write simple programs that guess the most common simple passwords and try them on a large list of usernames.",512,<first>,<what>
Passwords,Passwords,100.0,3536,main,"Do not assume that since we do not block a password you chose that it means you chose a ""strong"" password.After you choose your password we store it encrypted in our database(s). We will never email it to you and we discourage you from using any service that does something like that.",284,<first>,<what>
