decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,GinaStarSearch this siteSkip to main contentSkip to navigationGinaStar,70,<error>,<error>
Privacy Policy,Privacy Policy,100.0,75,main,"Privacy PolicyGinastar Studio (“Studio” or “we”) respect the privacy of its users (“User” or “You”) and are committed to protect the User’s information, be it yours or your child’s. We believe that You have a right to know our practices regarding the information we may collect and use when You use our mobile applications such as interactive e-books, games, and educational experiences (“Products” as defined in our Terms of Use) and website (the Products and website together, the “Service”).1. ",497,<error>,<error>
Your Consent,Your consent,100.0,574,main,"Your consent (important, please read carefully!)",48,<generic>,<error>
By accessing and/or using the Service,By accessing and/or using the Service,100.0,623,sub,"By accessing and/or using the Service is defined as site plus apps, You agree to the terms and conditions set forth in this Privacy Policy, including to the possible collection and processing of your Personal Information (as defined below). Please note: if You disagree to any term provided herein, You may not access or use the Service.2. ",340,<error>,<error>
Which Information We May Collect on Our Users,Which information we may collect on our Users,100.0,964,main,Which information we may collect on our Users?,46,<first>,<error>
Personal Information,Personal Information,100.0,1011,sub,"Personal Information: We does not collect any information from its Users. But some information may nonetheless be collected through third party services used bysuch as advertising networks, push notification services or others (“Third Parties“) and stored on such Third Parties servers.Non Personal Information:We allows Third parties to collect non personal information or non-identifiable information (“",405,<first>,<error>
Non-Personal Information,Non-Personal Information,100.0,1419,sub,"Non-Personal Information“).To put it simply, with respect to such Non Personal Information we have no idea what is the identity of the User from which Third Parties have collected the Non-personal Information.",209,<first>,<error>
Technical Information,Technical information,100.0,1630,sub,"Technical information:>Type of operation system (e.g. Windows, Linux, etc.)>Type of Browser (e.g. Explorer, Firefox, Chrome, Safari, etc.)>Screen resolution (e.g. 800×600, 1024×768, etc.)>Language (e.g. English)>Android or iOS Vendor (e.g. Galaxy, iPhone, etc.)>Flash version",275,<first>,<error>
Behavioral Information,Behavioral information,100.0,1912,sub,Behavioral information:>User’s interaction with the Service>User’s behavior on the Service>The amount of pictures user publishes after using the Service.>Any Similar behavioral information.>Geo-location – only general location may be collected. No street name or city/town name is collected.3.,293,<first>,<error>
How Do We Collect Information on Our Users, How do we collect informaion on our Users,97.61904761904762,2211,main," How do we collect informaion on our Users?Non-personal Information is gathered by third-party services while you access the Service. In other words, analytical third-party services are aware of your usage of the Site and the Service, and may collect the information relating to such usage.4. ",293,<first>,<error>
Direct Marketing & Advertising,Direct Marketing & Advertising,100.0,2506,main,Direct Marketing & Advertising,30,<third>,<error>
Direct Marketing & Advertising,Direct Marketing & Advertising,100.0,2506,main,"We accept advertisements from third party advertisers. These advertisers are carefully selected to provide information about products and services that we think may be of interest to our Users. Note that if you click on any of these advertisements, these advertisers may use cookies and other web-tracking technologies to collect non-personal and/or personal information about you. We recommend that you review the terms of use and privacy policy for any advertiser with which you are interacting before doing so. Their privacy policy, not ours, will apply to any of those interactions.",586,<third>,<error>
