decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Nuumaraİçeriğe atlaNuumaraD,27,<error>,<error>
DATA PROTECTION AND PRIVACY POLICY,"ATA PROTECTION AND PRIVACY POLICY
",97.05882352941177,30,main,ATA PROTECTION AND PRIVACY POLICYP,34,<generic>,<error>
PRIVACY POLICY,"RIVACY POLICY
",100.0,65,main,RIVACY POLICYL,14,<generic>,<error>
LAST UPDATED,ast updated ,100.0,80,main,ast updated J,13,<generic>,<error>
"JANUARY 03, 2020","anuary 03, 2020
",100.0,93,sub,"anuary 03, 2020Thank you for choosing to be part of our community at Ücretsiz Numara Sorgulama Apps. (“Company”, “we”, “us”, or “our”). We are committed to protecting your personal information and your right to privacy. If you have any questions or concerns about our policy , or our practices with regards to your personal information, please contact us at calleridapps@protonmail.com.",386,<generic>,<error>
"JANUARY 03, 2020","anuary 03, 2020
",100.0,93,sub,"When you visit our mobile application, and use our services, you trust us with your personal information. We take your privacy very seriously. In this privacy policy, we seek to explain to you in the clearest way possible what information we collect, how we use it and what rights you have in relation to it. We hope you take some time to read through it carefully, as it is important. If there are any terms in this privacy policy that you do not agree with, please discontinue use of our Apps and our services.",512,<generic>,<error>
"JANUARY 03, 2020","anuary 03, 2020
",100.0,93,sub,"This privacy policy applies to all information collected through our mobile application, (“Apps“), and/or any related services, sales, marketing or events (we refer to them collectively in this privacy policy as the “Services“).PLEASE READ THIS PRIVACY POLICY CAREFULLY.",270,<generic>,<error>
"JANUARY 03, 2020","anuary 03, 2020
",100.0,93,sub,"BY REGISTERING, DOWNLOADING, INSTALLING, ACCESSING, ACTIVATING OR OTHERWISE USING THE SERVICE OR INTERACTING WITH US ON OUR WEBSITE, YOU ACKNOWLEDGE THE TERMS AND THE PRACTICES DESCRIBED IN THIS PRIVACY POLICY, INCLUDING WITHOUT LIMITATION WITH RESPECT TO THE COLLECTION AND PROCESSING OF YOUR COLLECTED INFORMATION AS SET FORTH HEREIN.T",337,<generic>,<error>
TABLE OF CONTENTS,"ABLE OF CONTENTS
",100.0,1616,main,ABLE OF CONTENTS1. W,20,<generic>,<error>
WHAT INFORMATION DO WE COLLECT?,"HAT INFORMATION DO WE COLLECT?
",100.0,1637,main,HAT INFORMATION DO WE COLLECT?2. H,34,<first>,<error>
HOW DO WE USE YOUR INFORMATION?,"OW DO WE USE YOUR INFORMATION?
",100.0,1672,main,OW DO WE USE YOUR INFORMATION?3. W,34,<error>,<error>
WILL YOUR INFORMATION BE SHARED WITH ANYONE?,"ILL YOUR INFORMATION BE SHARED WITH ANYONE?
",100.0,1707,main,ILL YOUR INFORMATION BE SHARED WITH ANYONE?4. W,47,<third>,<error>
WHO WILL YOUR INFORMATION BE SHARED WITH?,"HO WILL YOUR INFORMATION BE SHARED WITH?
",100.0,1755,main,HO WILL YOUR INFORMATION BE SHARED WITH?5. D,44,<error>,<error>
DO WE USE COOKIES AND OTHER TRACKING TECHNOLOGIES?,"O WE USE COOKIES AND OTHER TRACKING TECHNOLOGIES?
",100.0,1800,main,O WE USE COOKIES AND OTHER TRACKING TECHNOLOGIES?6. D,53,<error>,<error>
DO WE USE GOOGLE MAPS?,"O WE USE GOOGLE MAPS?
",100.0,1854,main,O WE USE GOOGLE MAPS?7. I,25,<error>,<error>
IS YOUR INFORMATION TRANSFERRED INTERNATIONALLY?,"S YOUR INFORMATION TRANSFERRED INTERNATIONALLY?
",100.0,1880,main,S YOUR INFORMATION TRANSFERRED INTERNATIONALLY?8. W,51,<error>,<error>
WHAT IS OUR STANCE ON THIRD-PARTY WEBSITES?,"HAT IS OUR STANCE ON THIRD-PARTY WEBSITES?
",100.0,1932,main,HAT IS OUR STANCE ON THIRD-PARTY WEBSITES?9. H,46,<error>,<error>
HOW LONG DO WE KEEP YOUR INFORMATION?,"OW LONG DO WE KEEP YOUR INFORMATION?
",100.0,1979,main,OW LONG DO WE KEEP YOUR INFORMATION?10. H,41,<error>,<error>
HOW DO WE KEEP YOUR INFORMATION SAFE?,"OW DO WE KEEP YOUR INFORMATION SAFE?
",100.0,2021,main,OW DO WE KEEP YOUR INFORMATION SAFE?11. W,41,<error>,<error>
WHAT ARE YOUR PRIVACY RIGHTS?,"HAT ARE YOUR PRIVACY RIGHTS?
",100.0,2063,main,HAT ARE YOUR PRIVACY RIGHTS?12. D,33,<error>,<error>
DATA BREACH,"ATA BREACH
",100.0,2097,main,ATA BREACH13. C,15,<error>,<error>
CONTROLS FOR DO-NOT-TRACK FEATURES,"ONTROLS FOR DO-NOT-TRACK FEATURES
",100.0,2113,main,ONTROLS FOR DO-NOT-TRACK FEATURES14. D,38,<error>,<error>
DO CALIFORNIA RESIDENTS HAVE SPECIFIC PRIVACY RIGHTS?,"O CALIFORNIA RESIDENTS HAVE SPECIFIC PRIVACY RIGHTS?
",100.0,2152,main,O CALIFORNIA RESIDENTS HAVE SPECIFIC PRIVACY RIGHTS?15. D,57,<error>,<error>
DO WE MAKE UPDATES TO THIS POLICY?,"O WE MAKE UPDATES TO THIS POLICY?
",100.0,2210,main,O WE MAKE UPDATES TO THIS POLICY?16. H,38,<error>,<error>
HOW CAN YOU CONTACT US ABOUT THIS POLICY?,"OW CAN YOU CONTACT US ABOUT THIS POLICY?
",100.0,2249,main,OW CAN YOU CONTACT US ABOUT THIS POLICY?1,41,<error>,<error>
1. WHAT INFORMATION DO WE COLLECT?,". WHAT INFORMATION DO WE COLLECT?
",100.0,2291,main,. WHAT INFORMATION DO WE COLLECT?P,34,<error>,<error>
PERSONAL INFORMATION YOU DISCLOSE TO US,"ersonal information you disclose to us
",100.0,2326,main,ersonal information you disclose to usI,39,<first>,<error>
INFORMATION FROM USER OR USER DEVICES,"nformation from user or user devices
",100.0,2366,main,nformation from user or user devices.I,38,<first>,<error>
INFORMATION WHICH IS ESSENTIAL FOR THE USE OF THE SERVICE,"nformation which is essential for the use of the Service
",100.0,2406,main,"nformation which is essential for the use of the ServiceWhen you register, download, install and access the Service, the following Collected Information will be collected and processed by This App: Information regarding contacts contained in user device phone books (as detailed below) (“Contacts”), name, phone number, email, connection information, usage statistics, event information, version of the Software used (the “Essential Information“).",447,<first>,<error>
INFORMATION WHICH IS ESSENTIAL FOR THE USE OF THE SERVICE,"nformation which is essential for the use of the Service
",100.0,2406,main,We collect and process the Essential Information because it is necessary in order for us to be able to perform our contract with you and provide you with the Service.I,167,<first>,<error>
