decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"MyPlate PRIVACY POLICYMyPlate PRIVACY POLICYLast Updated:June 9, 2021This privacy policy(“Privacy Policy”)describes how information and data is collected from you when you use this online website, mobile website, application, digital service, or any related products, services, sites, features or functionality (each a“Service”, collectively the“Services”) and how Leaf Group Ltd., including its subsidiaries/affiliates Society 6, LLC, Saatchi Online, Inc., and Well+Good, LLC (“Leaf Group”,“we”,“us”,or“our”",508,<error>,<error>
,,-1.0,0,,"), uses, shares and manages your information and data. By using any of the Services, you consent to the collection, use, processing, and sharing of your information as described in this Privacy Policy.1. ",204,<error>,<error>
Our Privacy Principles,Our Privacy Principles,100.0,732,main,"Our Privacy PrinciplesWe are committed to recognizing and respecting your privacy rights by keeping you informed and processing and protecting your personal data in compliance with applicable data protection laws and regulations(“Data Protection Laws”).If you are located outside of the United States and you choose to use the Services or provide your information to us, your data may be transferred to, processed and maintained on servers, databases or cloud storage facilities located in the United States. Your use of the Services represents your consent and agreement to these practices. If you do not want your data transferred to or processed or maintained in the United States, you should not use the Services.",717,<generic>,<error>
Our Privacy Principles,Our Privacy Principles,100.0,732,main,2. ,3,<generic>,<error>
Information that We Collect from You,Information that We Collect from You,100.0,1457,main,Information that We Collect from You,36,<generic>,<what>
Account Data You Directly and Voluntarily Provide to Us,Account Data You Directly and Voluntarily Provide to Us,100.0,1494,sub,"Account Data You Directly and Voluntarily Provide to UsWe may collect and process some or all of the following information you make available to us if you register, download or use the Services, such as your:NameEmail AddressMailing AddressPhone NumberInterestsUser NamePasswordOther Registration InformationCustomer Support or Technical Information you provide when you contact us with questions about your use of the Services",427,<first>,<what>
Account Data You Directly and Voluntarily Provide to Us,Account Data You Directly and Voluntarily Provide to Us,100.0,1494,sub,"Details of transactions you carry out through the Services, your purchases, and the fulfillment of orders we provide to youOther information you may provide to us through promotions or surveys",192,<first>,<what>
User Profile Data,User Profile Data,100.0,2126,sub,"User Profile DataIn addition to the data listed above, we may offer you the option to create a user profile to describe yourself that may be visible to other users of the Services. If you are a registered user you may also be able to adjust your account settings through your user account. We note that, even if you adjust your settings so that your user profile remains private, we will still be able to access and view the information you provide as part of your user profile.",478,<first>,<what>
Public Data You Post Through the Services,Public Data You Post Through the Services,100.0,2606,sub,"Public Data You Post Through the ServicesIf you post information on public areas of the Services, such as reviews, comments, and user content, that data may be collected and used by us, other users of the Services, and the public generally. We strongly recommend that you do not post any information through the Services that allows strangers to identify or locate you or that you otherwise do not want to share with the public.",428,<first>,<what>
Usage Data We Automatically Collect from You,Usage Data We Automatically Collect from You,100.0,3036,sub,"Usage Data We Automatically Collect from YouIn addition to the information you provide to us, the Services may collect and process additional data automatically, this data may include your:Device Registration Data(for example, the type of mobile device you use, your mobile device’s unique device or advertising ID, IP address, operating system and browser type),Device Settings(for example, your language preference)Mobile CarrierInformation about how you use the Services",473,<first>,<what>
Usage Data We Automatically Collect from You,Usage Data We Automatically Collect from You,100.0,3036,sub,"(for example, how many times you use the Services each day)Requested and Referring URLsLocation Data collected through your Device(including, for example, precise location data such as GPS and WiFi information)Information collected through cookies and other tracking technologiesincluding, but not limited to, your IP address and domain name, your browser version and operating system, traffic data, location data, web logs and other communication data, and the resources that you access3. ",490,<first>,<what>
How We Use Your Information,How We Use Your Information,100.0,4013,main,"How We Use Your InformationIn this section, we set out the purposes for which we use personal information that we collect when you use the Services. In relation to EU Users, we are required under applicable Data Protection Laws, to identify the legal bases on which we rely to process the information.",301,<error>,<error>
"Providing the Services, Improving the Services, Providing Support, and Communicating With You","Providing the Services, Improving the Services, Providing Support, and Communicating With You",100.0,4316,sub,"Providing the Services, Improving the Services, Providing Support, and Communicating With YouWe and our service providers may use the data you provide or that is collected through the Services to operate and improve the Services, our other sites, applications, products and services, to contact you from time to time to provide you with important information and notices relating to the Services, and to carry out obligations arising from any agreements between you and us.Legal Bases:",485,<first>,<why>
"Providing the Services, Improving the Services, Providing Support, and Communicating With You","Providing the Services, Improving the Services, Providing Support, and Communicating With You",100.0,4316,sub,"contract performance, legitimate interests (to correspond with you, to enable us to provide you with the Services and to improve the Services)",142,<first>,<why>
Providing Marketing and Promotion Materials,Providing Marketing and Promotion Materials,100.0,4947,sub,Providing Marketing and Promotion Materials,43,<first>,<how-used>
Providing Marketing and Promotion Materials,Providing Marketing and Promotion Materials,100.0,4947,sub,"We and our service providers may use the data you provide or that is collected through the Services to provide you with updates, offers, and promotions, where you have chosen to receive these. We may also use your information for marketing our own and our selected business partners’ products and services to you by email and, where required by law, we will ask for your consent at the time we collect your data to conduct any of these types of marketing. If you wish to unsubscribe from receiving marketing communications from us by email, please follow the instructions contained in each email you receive from us describing how you can unsubscribe from receiving further marketing communications from us.",707,<first>,<how-used>
Advertising and Third Party Content and Links,Advertising and Third Party Content and Links,100.0,5699,sub,Advertising and Third Party Content and Links,45,<third>,<how-used>
