decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Legion Network Privacy Policy,Legion Network Privacy Policy,100.0,0,main,"Legion Network Privacy PolicyHomeSuperAppMetaverseLearn CentreBlogsBuy LGXByBitPancakeswapBuy LGXGate.ioByBitPancakeswapDownloadApp StorePlay StorePrivacy PolicyLast updated: September 11, 2021This Privacy Policy describes Our policies and procedures on the collection, use and disclosure of Your information when You use the Service and tells You about Your privacy rights and how the law protects You.",403,<generic>,<error>
Legion Network Privacy Policy,Legion Network Privacy Policy,100.0,0,main,"We use Your Personal data to provide and improve the Service. By using the Service, You agree to the collection and use of information in accordance with this Privacy Policy.",174,<generic>,<error>
Interpretation,Interpretation,100.0,597,sub,Interpretation and ,19,<generic>,<other>
Definitions,Definitions,100.0,616,sub,DefinitionsInterpretationThe words of which the initial letter is capitalized have meanings defined under the following conditions. The following definitions shall have the same meaning regardless of whether they appear in singular or in plural.DefinitionsFor the purposes of this Privacy Policy:Accountmeans a unique account created for You to access our Service or parts of our Service.Affiliate,397,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"means an entity that controls, is controlled by or is under common control with a party, where â€œcontrolâ€ means ownership of 50% or more of the shares, equity interest or other securities entitled to vote for election of directors or other managing authority.Applicationmeans the software program provided by the Company downloaded by You on any electronic device, named Legion NetworkBusiness",396,<generic>,<other>
Definitions,Definitions,100.0,616,sub,", for the purpose of the CCPA (California Consumer Privacy Act), refers to the Company as the legal entity that collects Consumersâ€™ personal information and determines the purposes and means of the processing of Consumersâ€™ personal information, or on behalf of which such information is collected and that alone, or jointly with others, determines the purposes and means of the processing of consumersâ€™ personal information, that does business in the State of California.Company",484,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"(referred to as either â€œthe Companyâ€, â€œWeâ€, â€œUsâ€ or â€œOurâ€ in this Agreement) refers to Legion Network, Bur Dubai Al fahedy .For the purpose of the GDPR, the Company is the Data Controller.Consumer, for the purpose of the CCPA (California Consumer Privacy Act), means a natural person who is a California resident. A resident, as defined in the law, includes (1) every individual who is in the USA for other than a temporary or transitory purpose, and (2) every individual who is domiciled in the USA who is outside the USA for a temporary or transitory purpose.",577,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"Cookiesare small files that are placed on Your computer, mobile device or any other device by a website, containing the details of Your browsing history on that website among its many uses.Countryrefers to: United Arab EmiratesData Controller, for the purposes of the GDPR (General Data Protection Regulation), refers to the Company as the legal person which alone or jointly with others determines the purposes and means of the processing of Personal Data.Device",463,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"means any device that can access the Service such as a computer, a cellphone or a digital tablet.Do Not Track(DNT) is a concept that has been promoted by US regulatory authorities, in particular the U.S. Federal Trade Commission (FTC), for the Internet industry to develop and implement a mechanism for allowing internet users to control the tracking of their online activities across websites.Personal Datais any information that relates to an identified or identifiable individual.",483,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"For the purposes for GDPR, Personal Data means any information relating to You such as a name, an identification number, location data, online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity.For the purposes of the CCPA, Personal Data means any information that identifies, relates to, describes or is capable of being associated with, or could reasonably be linked, directly or indirectly, with You.Sale",489,<generic>,<other>
Definitions,Definitions,100.0,616,sub,", for the purpose of the CCPA (California Consumer Privacy Act), means selling, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating orally, in writing, or by electronic or other means, a Consumerâ€™s personal information to another business or a third party for monetary or other valuable consideration.Servicerefers to the Application or the Website or both.Service Provider",429,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"means any natural or legal person who processes the data on behalf of the Company. It refers to third-party companies or individuals employed by the Company to facilitate the Service, to provide the Service on behalf of the Company, to perform services related to the Service or to assist the Company in analyzing how the Service is used. For the purpose of the GDPR, Service Providers are considered Data Processors.Third-party Social Media Service",449,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"refers to any website or any social network website through which a User can log in or create an account to use the Service.Usage Datarefers to data collected automatically, either generated by the use of the Service or from the Service infrastructure itself (for example, the duration of a page visit).Websiterefers to Legion Network, accessible fromhttp://54.151.242.253/You",376,<generic>,<other>
Definitions,Definitions,100.0,616,sub,"means the individual accessing or using the Service, or the company, or other legal entity on behalf of which such individual is accessing or using the Service, as applicable.Under GDPR (General Data Protection Regulation), You can be referred to as the Data Subject or as the User as you are the individual using the Service.",326,<generic>,<other>
Collecting and Using Your Personal Data,Collecting and Using Your Personal Data,100.0,5533,main,Collecting and Using Your Personal Data,39,<first>,<how-gathered>
Types of Data Collected,Types of Data Collected,100.0,5573,sub,Types of Data CollectedPersonal Data,36,<first>,<what>
Data Types,Data Types,100.0,5611,sub,"Data Typesa. Personal Info        i. Name -            1. Collected - This data is transmitted off the user's device, either to you (the developer) or a third party. This includes data that is processed ephemerally, or stored for longer)        ii. Email Address             1. Collected - This data is transmitted off the user's device, either to you (the developer) or a third party. This includes data that is processed ephemerally, or stored for longer)        iii. User IDs",478,<first>,<what>
Data Types,Data Types,100.0,5611,sub,"            2. No, this collected data is not processed ephemerally. Processing data ""ephemerally"" means accessing and using data while it is only stored in memory, and is retained for no longer than necessary to service the specific request in real-time.                       5. App functionality - Used for features in your app. For example, to enable functionality, or authenticate usersb. Photos",400,<first>,<what>
Data Types,Data Types,100.0,5611,sub,"        iii. Users can choose whether this data is collected Data will be shown as optional on your store listingc. App Interactions        i. Collected - This data is transmitted off the user's device, either to you (the developer) or a third party. This includes data that is processed ephemerally, or stored for longer)d. Crash Logs        i. Shared - This data is transferred to a third party, either on or off the user's device",432,<first>,<what>
Data Types,Data Types,100.0,5611,sub,"        ii. Fraud prevention, security, and compliance - Used for fraud prevention, security, or compliance with laws. For example, monitoring failed login attempts to identify possible fraudulent activity.e. Diagnostics        i. Shared - This data is transferred to a third party, either on or off the user's device",317,<first>,<what>
