decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Ts & Cs | AvonavnGeneric[{""label"":""Home "",""href"":""/""},{""label"":""terms-and-conditions"",""href"":""/terms-and-conditions.html""}]",123,<error>,<error>
Terms and Conditions of Use,Terms and Conditions of Use,100.0,126,main,Terms and Conditions of Use,27,<generic>,<error>
LAST UPDATED,LAST UPDATED,100.0,154,main,"LAST UPDATED: March 1, 2016AVON PRODUCTS, INC.",46,<generic>,<error>
TERMS AND CONDITIONS OF USE,TERMS AND CONDITIONS OF USE,100.0,202,main,"TERMS AND CONDITIONS OF USEPlease read these Terms and Conditions of Use (the""Agreement"") carefully before using this website. By using this website and/or other Avon Products, Inc. sites that link to these Terms and Conditions (collectively, the""AVON WEBSITES""), you agree to be bound by this Agreement.",304,<generic>,<error>
TERMS AND CONDITIONS OF USE,TERMS AND CONDITIONS OF USE,100.0,202,main,"If you do not agree to the terms and conditions of this Agreement, please do not use any of the AVON WEBSITES. Avon Products, Inc., a company incorporated under the laws of the State of New York, U.S.A. (referred to herein as""AVON,"" ""we,"" ""us""and""our""",251,<generic>,<error>
TERMS AND CONDITIONS OF USE,TERMS AND CONDITIONS OF USE,100.0,202,main,"), reserves the right to change this Agreement, in whole or in part, from time to time at our sole discretion, and to provide you with notice of such change by any reasonable means, including without limitation posting the revised draft of this Agreement on the AVON WEBSITES. You can determine when this Agreement was last revised by referring to the ""LAST UPDATED"" legend at the top of this Agreement. You should always check this Agreement prior to using the AVON WEBSITES. Your continued use of the AVON WEBSITES following the posting of changes to this Agreement will mean that you accept those changes.",608,<generic>,<error>
1. Restricted Uses.,1. Restricted Uses.,100.0,1376,main,1. Restricted Uses.,19,<first>,<error>
1. Restricted Uses.,1. Restricted Uses.,100.0,1376,main,"The AVON WEBSITES are owned and operated by AVON. The contents of the AVON WEBSITES are copyrighted under United States copyright laws. Except as stated herein, none of the material on the AVON WEBSITES may be copied, reproduced, distributed, republished, uploaded, displayed, posted or transmitted in any way whatsoever. Subject to your compliance with this Agreement, and solely for as long as you are permitted by AVON to access and use the AVON WEBSITES, you may download one (1) copy of any particular materials from the AVON WEBSITES for your own personal, non-commercial use, provided that you agree to abide by any copyright notice or other restrictions contained in or applicable to such materials, including any author attribution, copyright or trademark notice or restriction in any such material that you download. Modification of the materials, or use of the materials for any other purpose, whether commercial or noncommercial, is a violation of AVON's copyright and other proprietary rights.",1006,<first>,<error>
1. Restricted Uses.,1. Restricted Uses.,100.0,1376,main,"""AVON"" and the other AVON trademarks, trade names, service marks and logos appearing on the AVON WEBSITES are proprietary trademarks of AVON. The use of any of our trademarks or any other content made available through the AVON WEBSITES, except as expressly provided in this Agreement, is strictly prohibited.",309,<first>,<error>
2. Information Submitted Through the AVON WEBSITES.,2. Information Submitted Through the AVON WEBSITES.,100.0,2713,main,"2. Information Submitted Through the AVON WEBSITES.Your submission of information through the AVON WEBSITES is governed by AVON's Privacy Statement (the""Privacy Statement""), the link to which is located I n the footer of www.avoncompany.com., and this Agreement incorporates by reference the terms and conditions of the Privacy Statement. You represent and warrant that any information you provide in connection with your use of the AVON WEBSITES is true, accurate and complete, and that you will maintain and update such information as needed, such that the information remains true, accurate and complete.",607,<first>,<error>
3. Registration; User Names and Passwords.,3. Registration; User Names and Passwords.,100.0,3324,main,3. Registration; User Names and Passwords.,42,<first>,<error>
3. Registration; User Names and Passwords.,3. Registration; User Names and Passwords.,100.0,3324,main,"You may be required to register with AVON in order to access certain areas of the AVON WEBSITES. With respect to any such registration, we may refuse to grant you, and you may not use, a user name or email address that belongs to or is already being used by another person; that may be construed as impersonating another person; that violates the intellectual property or other rights of any person; that is offensive; or that we reject for any other reason in our sole discretion. You are responsible for maintaining the confidentiality of any password you may use to access the AVON WEBSITES, and you agree not to transfer your password or user name, or lend or otherwise transfer your use of or access to the AVON WEBSITES, to any third party. You are fully responsible for all Transactions (including any information transmitted in connection with any Transactions) and other interactions with the AVON WEBSITES that occur in connection with your user name. You agree to immediately notify AVON of any unauthorized use of your password or user name or any other breach of security related to your account, your user name or the AVON WEBSITES, and to ensure that you ""log off"" and exit from your account with the AVON WEBSITES (if applicable) at the end of each session. We are not liable for any loss or damage arising from your failure to comply with any of the foregoing obligations.",1389,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"4. Rules of Conduct.We expect users of the AVON WEBSITES to respect the law as well as the rights and dignity of others. While using the AVON WEBSITES you agree to comply with all applicable laws, rules and regulations. In addition, your use of the AVON WEBSITES is conditioned on your compliance with the rules of conduct set forth in this section, and failure to comply with these rules of conduct may result in termination of your access to the AVON WEBSITES pursuant to Section 11 below.You agree not to:",508,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Post, transmit, or otherwise make available through or in connection with the AVON WEBSITES:Any information or materials that are or may be, or the posting, transmission or use of which is or may be: (a) threatening, harassing, degrading, hateful or intimidating; (b) defamatory or libelous; (c) fraudulent or tortious; (d) obscene, indecent, pornographic or otherwise objectionable; or (e) protected by copyright, trademark, trade secret, right of publicity or privacy or any other proprietary right.",501,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Any material that would give rise to criminal or civil liability; that encourages conduct that constitutes a criminal offense; or that encourages or provides instructional information about illegal activities or activities such as ""hacking,"" ""cracking,"" or ""phreaking.""",269,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Any virus, worm, Trojan horse, Easter egg, time bomb, spyware, or other computer code, file, or program that is harmful or invasive or that may or is intended to damage, hijack, disable, interfere with, or disrupt the operation of, or monitor the use of, any hardware, software or equipment.",291,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Any unsolicited or unauthorized advertisements, promotional material, ""junk mail,"" ""spam,"" ""chain letter,"" ""pyramid scheme"" or investment opportunity, or any other form of solicitation that is not expressly approved by AVON in advance.Any personally identifiable information of another individual, without the prior consent of such individual.Any material, non-public information about a company, without the proper authorization to do so.Use the AVON WEBSITES for any fraudulent or unlawful purpose.",500,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Use the AVON WEBSITES to defame, abuse, harass, stalk, threaten or otherwise violate the legal rights of others, including without limitation others' privacy rights or rights of publicity, or to harvest or collect information about users of the AVON WEBSITES.",259,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Impersonate any person or entity, including without limitation any representative of AVON; falsely state or otherwise misrepresent your affiliation with any person or entity in connection with the AVON WEBSITES; or express or imply that we endorse any statement you make.Interfere with or disrupt the operation of the AVON WEBSITES or the servers or networks used to make the AVON WEBSITES available; or violate any requirements, procedures, policies or regulations of such networks.",483,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Restrict or inhibit any other person from using the AVON WEBSITES (including without limitation by hacking or defacing any portion of the AVON WEBSITES).Use the AVON WEBSITES to advertise or offer to sell or buy any goods or services for any business purpose, without AVON's express prior written consent.Reproduce, duplicate, copy, sell, resell, link to or otherwise exploit for any commercial purposes, any portion of, use of, or access to, the AVON WEBSITES.",461,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Modify, adapt, translate, reverse engineer, decompile or disassemble any portion of the AVON WEBSITES.Remove any copyright, trademark or other proprietary rights notice from the AVON WEBSITES or materials originating from the AVON WEBSITES.Frame or mirror any part of the AVON WEBSITES.Create a database by downloading and storing AVON WEBSITES content.",353,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Use any robot, spider, site search/retrieval application or other manual or automatic device to retrieve, index, ""scrape,"" ""data mine"" or in any way gather AVON WEBSITES content or reproduce or circumvent the navigational structure or presentation of the AVON WEBSITES without AVON's express prior written consent.",314,<first>,<error>
4. Rules of Conduct.,4. Rules of Conduct.,100.0,4757,main,"Additionally, you acknowledge and agree that you (and not AVON) are responsible for obtaining and maintaining all telecommunications, broadband, and computer hardware, equipment, and services needed to access and use the AVON WEBSITES, and for paying all charges related thereto.",279,<first>,<error>
5. Forums and Submissions.,5. Forums and Submissions.,100.0,8998,main,"5. Forums and Submissions.AVON may offer features through the AVON WEBSITES that enable you to post information and materials publicly, for example, bulletin boards, chat areas, and similar forums (collectively referred to herein as""Forums""). All of the rules of conduct described in Section 4 above apply to the Forums. Additionally, without AVON's express prior written consent, you may not use the Forums for any commercial purposes, including the promotion or advertisement of any goods, services or opportunities, and you may not use the Forums to solicit other AVON WEBSITE visitors or users to visit or become members of, subscribe to or register with any commercial online service or other organization.",711,<first>,<error>
5. Forums and Submissions.,5. Forums and Submissions.,100.0,8998,main,"When you submit or make available any information or materials through the Forums or otherwise through any AVON WEBSITE (""Submissions""",134,<first>,<error>
5. Forums and Submissions.,5. Forums and Submissions.,100.0,8998,main,"), you acknowledge and agree that those Submissions will be non-proprietary and non-confidential, may be made available to the general public, and may be used by AVON without restriction. You grant to AVON the worldwide, perpetual, royalty-free, irrevocable, nonexclusive right and license, sublicensable through multiple tiers, without compensation to you, to use, reproduce, distribute (through multiple tiers), adapt (including without limitation edit, modify, translate and reformat), create derivative works of, transmit, publicly display, publicly perform, digitally perform, make, have made, sell, offer for sale and import all Submissions, in any media now known or hereafter developed, for any purpose whatsoever, commercial or otherwise. You represent and warrant that you have all rights necessary for you to grant the licenses granted in this section with respect to each Submission, and that your provision of Submissions through the Forums or otherwise through the AVON WEBSITES complies with all applicable laws, rules and regulations. You further irrevocably waive any ""moral rights"" or other rights with respect to attribution of authorship or integrity of materials regarding any Submission that you may have under any applicable law or under any legal theory. This section will survive termination of this Agreement for any reason.",1350,<first>,<error>
5. Forums and Submissions.,5. Forums and Submissions.,100.0,8998,main,"We reserve the right, at our sole discretion, to edit any Submission and to choose to include or not include such Submission in the Forums or otherwise in the AVON WEBSITES. The Forums include the opinions, statements and other content of third parties. We are not responsible for screening, monitoring or verifying such content, including such content's accuracy, reliability or compliance with copyright or other laws. Any opinions, statements or other materials made available by third parties through the Forums or otherwise through the AVON WEBSITES are those of such third parties and not of AVON, and AVON does not endorse any such opinions, statements or materials. We may remove objectionable statements or other content from the AVON WEBSITES at any time if we deem removal to be warranted. Please understand that removal or editing of any Submission or other materials may not occur immediately.",906,<first>,<error>
5. Forums and Submissions.,5. Forums and Submissions.,100.0,8998,main,"You acknowledge and agree that AVON has no control over, and shall have no liability for any damages resulting from, the use (including without limitation re-publication) or misuse by any third party of information voluntarily made public through the Forums or any other part of the AVON WEBSITES. IF YOU CHOOSE TO MAKE ANY OF YOUR PERSONALLY IDENTIFIABLE INFORMATION OR OTHER INFORMATION PUBLICLY AVAILABLE THROUGH THE FORUMS OR OTHERWISE THROUGH THE AVON WEBSITES, YOU DO SO AT YOUR OWN RISK.",494,<first>,<error>
6. Intended Audience.,6. Intended Audience.,100.0,12602,main,6. Intended Audience.,21,<first>,<error>
