decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Back Button Privacy PolicySearch this siteSkip to main contentSkip to navigationBack Button Privacy PolicyModified on Feb 27, 2017",130,<error>,<error>
What Information We Collect,What Information We Collect,100.0,136,main,What Information We Collect ?Protecting your information and maintaining your trust is core to our mission. We will not sell your personal information to third parties.The types of information we collect are mainly as follows:,226,<first>,<what>
"(1) Information about your device including device ID, manufacturer of the device, screen size and model of the device, the mobile network you use but not the phone number;","(1) Information about your device including device ID, manufacturer of the device, screen size and model of the device, the mobile network you use but not the phone number;",100.0,365,sub,"(1) Information about your device including device ID, manufacturer of the device, screen size and model of the device, the mobile network you use but not the phone number;",172,<first>,<what>
How We Use Your Information,How We Use Your Information,100.0,538,main,How We Use Your Information?,28,<first>,<why>
(1)to provide our services to you;,(1)to provide our services to you;,100.0,567,sub,(1)to provide our services to you;,34,<first>,<error>
(2)to find out the reason that the error occurred or app crashed and improve the quality of the product;,(2)to find out the reason that the error occurred or app crashed and improve the quality of the product;,100.0,602,sub,(2)to find out the reason that the error occurred or app crashed and improve the quality of the product;,104,<first>,<error>
"(3)for customer service, security, fraud-detection, archival and backup purposes in connection with the provision of our services;","(3)for customer service, security, fraud-detection, archival and backup purposes in connection with the provision of our services;",100.0,707,sub,"(3)for customer service, security, fraud-detection, archival and backup purposes in connection with the provision of our services;",130,<first>,<error>
"(4)to better understand how you access and use our services, for the purposes of trying to improve our services and to respond to customer desires and preferences, including language and location customization, personalized help and instructions, or other responses to your and other customers’ usage of our services;","(4)to better understand how you access and use our services, for the purposes of trying to improve our services and to respond to customer desires and preferences, including language and location customization, personalized help and instructions, or other responses to your and other customers’ usage of our services;",100.0,838,sub,"(4)to better understand how you access and use our services, for the purposes of trying to improve our services and to respond to customer desires and preferences, including language and location customization, personalized help and instructions, or other responses to your and other customers’ usage of our services;",317,<first>,<error>
(5)to help us develop our new services and improve our existing services;,(5)to help us develop our new services and improve our existing services;,100.0,1156,sub,(5)to help us develop our new services and improve our existing services;,73,<first>,<error>
Sharing Of Your Information,Sharing Of Your Information,100.0,1230,main,Sharing Of Your Information,27,<third>,<what>
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information.","We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information.",100.0,1258,sub,"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information.",105,<third>,<error>
We may disclose your Non-personal information:,We may disclose your Non-personal information:,100.0,1364,sub,We may disclose your Non-personal information:,46,<third>,<error>
"To trusted third parties who assist us in operating our website, conducting our business, cooperation with us or servicing you, so long as those parties agree to keep this information confidential.","To trusted third parties who assist us in operating our website, conducting our business, cooperation with us or servicing you, so long as those parties agree to keep this information confidential.",100.0,1411,sub,"To trusted third parties who assist us in operating our website, conducting our business, cooperation with us or servicing you, so long as those parties agree to keep this information confidential.",197,<third>,<error>
"We will access, use or disclose your information with other organizations or entities for reasons that required by any applicable law, regulation, legal process or enforceable governmental request;","We will access, use or disclose your information with other organizations or entities for reasons that required by any applicable law, regulation, legal process or enforceable governmental request;",100.0,1609,sub,"We will access, use or disclose your information with other organizations or entities for reasons that required by any applicable law, regulation, legal process or enforceable governmental request;",197,<third>,<error>
"Detect, prevent, or otherwise fraud, security or technical issues;","Detect, prevent, or otherwise fraud, security or technical issues;",100.0,1807,sub,"Detect, prevent, or otherwise fraud, security or technical issues;",66,<third>,<error>
Permissions,Permissions,100.0,1874,main,Permissions:,12,<choice>,<how-gathered>
- Permission,- Permission,100.0,1887,sub,- Permission,12,<choice>,<error>
android.permission.READ_PHONE_STATE,android.permission.READ_PHONE_STATE,100.0,1900,sub,android.permission.READ_PHONE_STATE,35,<error>,<error>
only listen state of phone to make app work properly.,only listen state of phone to make app work properly.,100.0,1936,sub,only listen state of phone to make app work properly.Google SitesReport abuseGoogle SitesReport abuse,101,<error>,<error>
