decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Abs Workout Privacy Policy — Veev Apps Developer SiteПерейти к содержимомуVeev Apps Developer SiteМенюAbs Workout Privacy PolicyButt And Legs Workout Privacy PolicyFitness For Women Privacy PolicyLose Belly Fat Privacy PolicyMy Calendar Privacy PolicyStep Counter — Pedometer & Calorie Counter Privacy PolicyUpper Body Workouts Privacy PolicyWarm Up Exercises Privacy PolicyWater Drink Reminder Privacy PolicyWorkout for Men Privacy PolicyО насОбратная связьAbs Workout Privacy Policy,484,<error>,<error>
,,-1.0,0,,"Veev Apps built the ABS Workout app as a Free app. This SERVICE is provided by Veev Apps at no cost and is intended for use as is.This page is used to inform website visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",298,<error>,<error>
,,-1.0,0,,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at ABS Workout unless otherwise defined in this Privacy Policy.",478,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,1281,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information.","For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information.",100.0,1312,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information. ",132,<first>,<error>
The information that I request is retained on your device and is not collected by me in any way,The information that I request is retained on your device and is not collected by me in any way,100.0,1444,sub,The information that I request is retained on your device and is not collected by me in any way,95,<first>,<what>
The app does use third party services that may collect information used to identify you.,The app does use third party services that may collect information used to identify you.,100.0,1540,sub,The app does use third party services that may collect information used to identify you.,88,<third>,<what>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1629,main,Link to privacy policy of third party service providers used by the app,71,<Link to third party services>,<other>
Google Play Services,Google Play Services,100.0,1701,sub,Google Play Services,20,<error>,<other>
AdMob,AdMob,100.0,1722,sub,AdMob,5,<error>,<other>
Log Data,Log Data,100.0,1728,main,Log Data,8,<error>,<other>
"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.","I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.",100.0,1737,sub,"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data. ",181,<first>,<when>
"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.","This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",100.0,1918,sub,"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",254,<first>,<what>
Cookies,Cookies,100.0,2173,main,Cookies,7,<tracking>,<other>
Cookies are files with small amount of data that is commonly used an anonymous unique identifier.,Cookies are files with small amount of data that is commonly used an anonymous unique identifier.,100.0,2181,sub,Cookies are files with small amount of data that is commonly used an anonymous unique identifier. ,98,<first>,<what>
These are sent to your browser from the website that you visit and are stored on your device internal memory.,These are sent to your browser from the website that you visit and are stored on your device internal memory.,100.0,2279,sub,These are sent to your browser from the website that you visit and are stored on your device internal memory.,109,<first>,<error>
This Service does not use these “cookies” explicitly.,This Service does not use these “cookies” explicitly.,100.0,2389,sub,This Service does not use these “cookies” explicitly. ,54,<first>,<error>
"However, the app may use third party code and libraries that use “cookies” to collection information and to improve their services.","However, the app may use third party code and libraries that use “cookies” to collection information and to improve their services.",100.0,2443,sub,"However, the app may use third party code and libraries that use “cookies” to collection information and to improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",340,<third>,<error>
Service Providers,Service Providers,100.0,2784,main,Service Providers,17,<generic>,<other>
I may employ third-party companies and individuals due to the following reasons:,I may employ third-party companies and individuals due to the following reasons:,100.0,2802,sub,I may employ third-party companies and individuals due to the following reasons:,80,<third>,<how-gathered>
To facilitate our Service;,To facilitate our Service;,100.0,2883,sub,To facilitate our Service;,26,<error>,<why>
To provide the Service on our behalf;,To provide the Service on our behalf;,100.0,2910,sub,To provide the Service on our behalf;,37,<error>,<why>
To perform Service-related services; or,To perform Service-related services; or,100.0,2948,sub,To perform Service-related services; or,39,<error>,<why>
To assist us in analyzing how our Service is used.,To assist us in analyzing how our Service is used.,100.0,2988,sub,"To assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",312,<error>,<why>
Security,Security,100.0,3302,main,Security,8,<security>,<other>
"I value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it.","I value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it.",100.0,3311,sub,"I value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. ",138,<first>,<error>
"But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.","But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",100.0,3449,sub,"But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",169,<first>,<error>
Links to Other Sites,Links to Other Sites,100.0,3619,main,Links to Other Sites,20,<not>,<other>
This Service may contain links to other sites.,This Service may contain links to other sites.,100.0,3640,sub,This Service may contain links to other sites. ,47,<third>,<error>
"If you click on a third-party link, you will be directed to that site.","If you click on a third-party link, you will be directed to that site.",100.0,3687,sub,"If you click on a third-party link, you will be directed to that site. ",71,<third>,<error>
Note that these external sites are not operated by me.,Note that these external sites are not operated by me.,100.0,3758,sub,"Note that these external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",273,<third>,<error>
Children’s Privacy,Children’s Privacy,100.0,4032,main,Children’s Privacy,18,<audience>,<other>
These Services do not address anyone under the age of 13.,These Services do not address anyone under the age of 13.,100.0,4051,sub,These Services do not address anyone under the age of 13. ,58,<first>,<error>
I do not knowingly collect personally identifiable information from children under 13.,I do not knowingly collect personally identifiable information from children under 13.,100.0,4109,sub,"I do not knowingly collect personally identifiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do necessary actions.",393,<error>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4503,main,Changes to This Privacy Policy,30,<error>,<other>
I may update our Privacy Policy from time to time.,I may update our Privacy Policy from time to time.,100.0,4534,sub,I may update our Privacy Policy from time to time. ,51,<error>,<when>
"Thus, you are advised to review this page periodically for any changes.","Thus, you are advised to review this page periodically for any changes.",100.0,4585,sub,"Thus, you are advised to review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.",228,<error>,<error>
Contact Us,Contact Us,100.0,4814,main,Contact Us,10,<error>,<other>
"If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.","If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.",100.0,4825,sub,"If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.Поделиться ссылкой:TwitterFacebookНравитсяЗагрузка...ПоискПоиск:Текстовый виджет боковой панелиЭто текстовый виджет. Текстовый виджет позволяет добавлять текст или HTML на любую боковую панель, которая есть в теме оформления сайта. Используйте текстовый виджет для отображения текста, ссылок, изображений, HTML или их сочетаний. Чтобы изменить элемент, откройте раздел «Виджет» в",504,<error>,<error>
"If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.","If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.",100.0,4825,sub,"Конфигураторе.Создайте бесплатный сайт или блог на WordPress.com.Тема: Penscratch 2, автор:WordPress.com.Политика конфиденциальности и использования файлов сookie: Этот сайт использует файлы cookie. Продолжая пользоваться сайтом, вы соглашаетесь с их использованием.Дополнительную информацию, в том числе об управлении файлами cookie, можно найти здесь:Политика использования файлов cookieПодписатьсяПодписаноVeev Apps Developer SiteПодписатьсяУже есть учётная запись WordPress.com?Войдите в систему.",500,<error>,<error>
"If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.","If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me via email veevapps@gmail.com.",100.0,4825,sub,Veev Apps Developer SiteНастроитьПодписатьсяПодписаноРегистрацияВойтиКопировать ссылкуСообщить об этом содержимомView post in ReaderУправление подпискамиСвернуть эту панель%d,174,<error>,<error>
