decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyPione built the MCPESkinStudio app as a Free app. This SERVICE is provided by                    Pione at no cost and is intended for use as is.This page is used to inform visitors regarding our policies with the collection, use, and disclosure                    of Personal Information if anyone decided to use our Service.If you choose to use our Service, then you agree to the collection and use of information in",445,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"                    relation to this policy. The Personal Information that we collect is used for providing and improving                    the Service. We will not use or share your information with anyone except as described                    in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is                    accessible at MCPESkinStudio unless otherwise defined in this Privacy Policy.",468,<generic>,<error>
Collected items of personal information and methods of collection,Collected items of personal information and methods of collection,100.0,925,main,Collected items of personal information and ,44,<generic>,<error>
Methods of collection,methods of collection,100.0,969,sub,"methods of collectionFor a better experience, while using our Service, we may require you to provide us with certain                    personally identifiable information, including but not limited to Android AD id. The information that we request will be retained by us and used as described in this privacy policy.The app does use third party services that may collect information used to identify you.",405,<first>,<how-gathered>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1378,main,Link to privacy policy of third party service providers used by the app,71,<third>,<error>
Google Play Services,Google Play Services,100.0,1450,sub,Google Play Services,20,<third>,<error>
AdMob,AdMob,100.0,1471,sub,AdMob,5,<third>,<error>
Firebase,Firebase,100.0,1477,sub,Firebase,8,<third>,<error>
Types of Data Collected,Types of Data Collected,100.0,1486,main,"Types of Data CollectedWhile using our Service, we may ask you to provide us with certain ",90,<first>,<what>
Personally identifiable information,personally identifiable information,100.0,1577,sub,"personally identifiable information that can be used to contact or identify you (""Personal Data""). Personally identifiable information may include, but is not limited to:Email address",183,<first>,<what>
Cookies and Usage Data,Cookies and Usage Data,100.0,1762,sub,"Cookies and Usage DataWhen you access the Service by or through a mobile device, we may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data (""Usage Data"").",407,<first>,<what>
Methods of collection,Methods of collection,100.0,2171,main,Methods of collection,21,<first>,<how-gathered>
Collection by entry or agreement on the company android application,Collection by entry or agreement on the company android application,100.0,2193,sub,Collection by entry or agreement on the company android application,67,<first>,<how-gathered>
Service Providers,Service Providers,100.0,2261,sub,"Service ProvidersWe may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.We want to inform users of this Service that these third parties have access to                    your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However,",451,<third>,<error>
