decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Katamapps - Privacy PolicySearch this siteSkip to main contentSkip to navigationKatamappsHomePrivacy PolicyKatamappsHomePrivacy PolicyMoreHomePrivacy PolicyPrivacy PolicyKatamApps is committed to providing fun and exciting digital entertainment across all its applications available on various devices such as Smartphones, tablets, and desktops. KatamApps respects the privacy concerns of all users.",399,<error>,<error>
,,-1.0,0,,"Thus, we at KatamApps have created this Privacy Policy to demonstrate our commitment to your privacy. The following reveals our information gathering and dissemination practices. By accessing and/or using KatamApps website you are accepting the practices described in this privacy policy.We want our users to always be aware of any information we collect, how we use it, and under what circumstances, if any, we disclose it.",424,<error>,<error>
PERSONAL INFORMATION THAT WE MAY COLLECT,PERSONAL INFORMATION THAT WE MAY COLLECT,100.0,840,main,PERSONAL INFORMATION THAT WE MAY COLLECT,40,<first>,<what>
"We may collect any personal information which specifically identifies you as an individual and might include your Name, Email Address, Mailing Addess, Phone Number.","We may collect any personal information which specifically identifies you as an individual and might include your Name, Email Address, Mailing Addess, Phone Number.",100.0,881,sub,"We may collect any personal information which specifically identifies you as an individual and might include your Name, Email Address, Mailing Addess, Phone Number.KatamApps will utilize your personal information to notify you about updates on the website, communicate with you regarding your account OR to provide you with news, promotions and special offers",359,<error>,<error>
NON-PERSONAL INFORMATION THAT WE MAY COLLECT,NON-PERSONAL INFORMATION THAT WE MAY COLLECT,100.0,1242,main,NON-PERSONAL INFORMATION THAT WE MAY COLLECT,44,<first>,<what>
We may collect non-personal information like,We may collect non-personal information like,100.0,1287,sub,We may collect non-personal information like,44,<first>,<error>
IP Address when a user accesses KatamApps,IP Address when a user accesses KatamApps,100.0,1332,sub,IP Address when a user accesses KatamApps,41,<error>,<error>
"Information about your computer such as hardware, software, platform and mobile device","Information about your computer such as hardware, software, platform and mobile device",100.0,1374,sub,"Information about your computer such as hardware, software, platform and mobile device",86,<first>,<error>
Anonymous information like user's activities on our websites,Anonymous information like user's activities on our websites,100.0,1461,sub,Anonymous information like user's activities on our websitesThe above privacy policy describes our practices in connection with information that we collect through this website. By stating and promising the above privacy policies we hereby ensure that the site stays safe and fun for all our visitors.,301,<first>,<error>
Anonymous information like user's activities on our websites,Anonymous information like user's activities on our websites,100.0,1461,sub,"Make sure to check our privacy policy frequently, since it is subjected to change, and your continued use of the site is conditional to your acceptance of any modifications hereto. By using our site you agree to the terms and conditions of this privacy policy.",260,<first>,<error>
Google Adsenses,Google Adsenses,100.0,2025,main,Google Adsenses:-,17,<first>,<error>
We display advertisements in our free apps to fund the development process for current and future Services.,We display advertisements in our free apps to fund the development process for current and future Services.,100.0,2043,sub,We display advertisements in our free apps to fund the development process for current and future Services.,107,<first>,<error>
"Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.","Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.",100.0,2151,sub,"Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.The advertisements are provided by third party companies and they may use and collect anonymous data about the User’s interests to be able to select more relevant advertisements. This information may also include location data and unique device identifier. No information is collected to allow third parties identifying you as a person.",465,<error>,<error>
"Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.","Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.",100.0,2151,sub,"Ad companies may use and collect anonymous data about your interests to customize content and advertising here and in other sites and applications. Interest and location data may be linked to your device, but is not linked to your identity. Click to see company privacy policies and opt-out choices.",299,<error>,<error>
"Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.","Also, we promote our apps by cross promotion. It means while you are using one of our apps, our other apps ad will display on it.",100.0,2151,sub,To provide users that have given us consent to share their advertising IDs with our ad network partners (as further specified under Information Sharing) for the purpose of serving them with personalized advertisement in the App (behavioral advertising).,253,<error>,<error>
Contact us,Contact us,100.0,3172,main,Contact us,10,<contact>,<how-gathered>
"If you have any suggestions, feedback or requests. please contact us on our email us at katamapplications@gmail.com","If you have any suggestions, feedback or requests. please contact us on our email us at katamapplications@gmail.com",100.0,3183,sub,"If you have any suggestions, feedback or requests. please contact us on our email us at katamapplications@gmail.comCopyright © 2017 KatamApps. All Rights ReservedGoogle SitesReport abusePage detailsPage updatedGoogle SitesReport abuse",234,<error>,<error>
