decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,T2ST2SDocs,10,<error>,<error>
Privacy Policy for T2S,Privacy Policy for T2S,100.0,13,main,"Privacy Policy for T2SThis Privacy Policy describes how and when the T2S application collects, processes, uses and shares data your information when you use the application.By using the application services, you agree to provide consent to our collection, use and sharing of your information as described in this policy.1 ",322,<error>,<error>
Data Collection and Use,Data Collection and Use,100.0,338,main,Data Collection and Use1.1 ,27,<error>,<what>
For Improving User Experience,For Improving User Experience,100.0,366,sub,"For Improving User ExperienceFor the purpose of improving user experience, fixing bugs and understanding how you use the application,this application collects the following information:Error information: General error information or program error stack, used to understand and fix errors.Device information: Such as device model, operating system version, system language, system memory usage.Performance information: Application launch time, frame generation time, power consumption, etc.",489,<error>,<why>
For Improving User Experience,For Improving User Experience,100.0,366,sub,Basic usage information: In order to know which functions users frequently use and whether they successfully complete an action.Speech engine information: In order to know which speech engine service used by users.Resettable device ID: In order to know if an error or operation was generated by same device.Geographical regions: In order to know which country or region users come from by IP address. Only be analyzed in aggregate.,431,<error>,<why>
For Improving User Experience,For Improving User Experience,100.0,366,sub,These information is not linked to your personally identifiable and does not contain sensitive information.It only can and only will used for improving user experience.The app usesGoogle Analytics for FirebaseandFirebase Crashlyticsto collect these information.1.2 ,265,<error>,<why>
Interest-Based Ads (Applicable for Free version users),Interest-Based Ads (Applicable for Free version users),100.0,1568,sub,"Interest-Based Ads (Applicable for Free version users)The Google Mobile Ads SDK may collects and shares the following data types for interest-based ads, analytics, and fraud prevention purposes:IP address: May be used to estimate the general location of a device.How users interact with ads.Diagnostic information: Collects information related to the performance of your app and the SDK, including crash logs, app launch time, hang rate, and energy usage.",455,<error>,<what>
Interest-Based Ads (Applicable for Free version users),Interest-Based Ads (Applicable for Free version users),100.0,1568,sub,"Device and Account identifiers: Collects Android advertising (ad) ID, app set ID, and, if applicable, other identifiers related to signed-in accounts on the device.Details1.3 ",175,<error>,<what>
Transactional/ Billing Information,Transactional/ Billing Information,100.0,2205,sub,"Transactional/ Billing InformationBased on your purchase of a subscription or paid service, our payment gateway partner may collect information,including but not limited to, your credit/debit card details or other bank account details along with your billing address.",267,<error>,<what>
Transactional/ Billing Information,Transactional/ Billing Information,100.0,2205,sub,"This information is stored by the payment gateway partner. For instance, the Services will be using third party payment gateway partners to process and facilitate the payment of your subscription fee to the Services for providing you access to the subscription; such payment gateway partners are not controlled by us.",317,<error>,<what>
Transactional/ Billing Information,Transactional/ Billing Information,100.0,2205,sub,"When you visit such payment gateways you do so at your own risk. We encourage you to familiarize yourself with the privacy statements provided by such payment gateways prior to providing them with information about you or entering into any transactions with them.We do not assume any responsibility or liability for such payment gateways, the content of such payment gateways and their privacy practices, nor do we endorse them.",428,<error>,<what>
Transactional/ Billing Information,Transactional/ Billing Information,100.0,2205,sub,"We may receive financial or transactional information (for e.g., transaction ID, etc.) from third party vendors in case of payments, for reconciliation and validation of transactions and also for the purpose of resolutions of complaints (in case of failed transactions and refunds).1.4 ",286,<error>,<what>
Data Provided to Third-parties by User Actions,Data Provided to Third-parties by User Actions,100.0,3510,sub,"Data Provided to Third-parties by User ActionsWhile you are using the app, your actions may provide personal information to third-parties.This is not in our control, and you are responsible for it.We recommend that you pay attention to the following situations.",261,<error>,<what>
1.4.1 Web Browser,1.4.1 Web Browser,100.0,3775,sub,"1.4.1 Web BrowserIf you use the app's built-in web browser to visit third-party websites,the third-party websites may collect or share your personal information.",161,<error>,<how-gathered>
1.4.2 Speech Engine,1.4.2 Speech Engine,100.0,3939,sub,"1.4.2 Speech EngineThe app uses third-parties speech engine (Text-to-speech) services that have been installed on your device.During your using the app, the app will submit text content (maybe from you typed, files you opened, or a web page you browsing) to third-party services to generate speech.You should review the privacy policy of speech engine service you are using and only use speech engine services from providers you trust.",435,<error>,<how-gathered>
1.4.3 Save or Backup Data to Third-party Services,1.4.3 Save or Backup Data to Third-party Services,100.0,4378,sub,"1.4.3 Save or Backup Data to Third-party ServicesIf you choose to save/back-up your app data through a third-party service, the third-party service provider may collect or share your information.1.5 ",199,<error>,<how-gathered>
Other Situations,Other Situations,100.0,4579,sub,"Other SituationsWhen you provide feedback(s), respond to surveys, or communicate with us, we may receive personal information from you, such as your name, e-mail ID, etc.We uses a variety of third-party services to help provide our Services, including to host our various blogs and wikis and to help us understand the use of our Services.",338,<third>,<other>
Other Situations,Other Situations,100.0,4579,sub,"These third-party service providers may use cookies and other technologies to collect information about your use of our Services and other websites and services, including your IP address, device ID, pages viewed, and links clicked.2 ",234,<third>,<other>
Developer Information and Contact,Developer Information and Contact,100.0,5155,main,"Developer Information and ContactT2S is developed by HE-SOFT, email:hesoft.developer@gmail.comIf you require any information or clarification regarding the use of your information or this privacy policy or grievances with respect to use of your information,please email us.3 ",275,<choice>,<other>
Changes to this Policy,Changes to this Policy,100.0,5435,main,"Changes to this PolicyWe may revise this Privacy Policy from time to time. The most current version of the policy will govern our use of your information.By continuing to access or use the Services after those changes become effective, you agree to be bound by the revised Privacy Policy.4 ",290,<change>,<other>
Agreement Effective,Agreement Effective,100.0,5728,main,"Agreement EffectiveThe effective date of this policy is January 25, 2022, and only reflect the latest version of the app.©2022HESOFTPrivacy policyTerms of service",162,<access>,<other>
