decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Electric French Fries Inc. ,27,<error>,<error>
PRIVACY POLICY,Privacy Policy,100.0,27,main,"Privacy Policy and Terms of UseElectric French Fries Inc.Privacy Policy and Terms of UseLast updated: November 23, 2021PRIVACY POLICYThis document explains how Electric French Fries Inc. (“EFF”) uses data that you give us when you use our apps. Our apps use third party tools from Google and Yahoo for advertising and diagnostics purposes and EFF itself also conducts some basic tracking. Please see Google, Yahoo, and Apple privacy policies for more detailed information about how those companies use the information gathered about you through the use of our apps.",565,<generic>,<error>
About third parties and privacy,About third parties and privacy,100.0,598,main,"About third parties and privacyEFF uses Google AdMob to display advertising in our apps. This service collects granular (non-identifiable) information about users. For example, it is possible for EFF (and Google) to see the number of times people have viewed ads but not the specific users viewing ads.EFF uses third parties to collect diagnostics and usage data from our apps. For this we use services called Google Firebase Analytics, Google Analytics, and Yahoo Flurry. The ",477,<generic>,<error>
Information collected,information collected,100.0,1077,sub,"information collected informs us if our apps are crashing and helps us understand how our apps are being used (for example, which features of an app are most frequently used, or the number of daily users an app has in a particular country).Some of our  apps currently make use of “IDFA” (a unique ID for each device which allows users to limit ad targeting in iOS). It’s safe to assume that any data gathered by Google via IDFA can be used to track you and can be linked to your identity. However, this only applies to devices running iOS 13 and earlier, and we are in the process of phasing out the ",600,<first>,<what>
Use of IDFA,use of IDFA,100.0,1678,sub,use of IDFA from all of our apps.,33,<first>,<what>
About EFF and privacy,About EFF and privacy,100.0,1712,main,"About EFF and privacyMany of our apps contain a widget called “More From Us” that displays a list of our apps. We use this widget primarily to help our users discover our other apps. We also use this widget to determine which app icons and text descriptions our users prefer. To do this, we measure the number of taps one icon receives versus another. None of the data collected is tied to individual users, the data is anonymous, and we don’t sell it or share it with anyone.EFF uses ",485,<generic>,<why>
Camera and microphone functions,camera and microphone functions,100.0,2199,sub,"camera and microphone functions in many of our apps. Permissions must be given by the user in order for these functions to be activated and at no time are photos, videos, or audio recordings (“media”) transmitted to EFF or any third party. None of our apps collect media in the “background” while the app is closed. In addition, users can restrict any of our apps’ media capturing functions at any time through privacy settings, or by simply deleting the app.",459,<first>,<how-used>
Camera and microphone functions,camera and microphone functions,100.0,2199,sub,"Our apps do not capture, retain, or transmit any photos or “face data” (e.g., photos of your face) without express user action. Some of our apps allow users to capture media (photos, videos, and/or audio); for example, a humorous video showing a user’s face. Such media may be temporarily stored on a device for processing and previewing, but no user-captured media is otherwise stored within the app or transmitted unless by express user action (for example, if the user saves an image to an app’s gallery or shares an image via instant message). No media is collected or transmitted to EFF or any third party and media cannot be viewed, listened to, or obtained by EFF or any third party. Media saved within EFF’s apps cannot be accessed by EFF or by third parties and can be deleted by the user at any time.",810,<first>,<how-used>
Camera and microphone functions,camera and microphone functions,100.0,2199,sub,"EFF may operate social media accounts. Information posted to our social media accounts is generally not retained by EFF, though EFF reserves the right to interact with users over social media platforms and to retain any publicly or privately shared transmissions.EFF may change this policy from time to time by updating this page. You should check this page periodically to ensure that you are aware of any changes.",415,<first>,<how-used>
TERMS OF USE,TERMS OF USE,100.0,3887,main,"TERMS OF USEBy accessing and using any of our apps, you agree to each of the terms and conditions set forth herein (""Terms of Use""). Additional terms and conditions applicable to specific areas of our apps or to particular content or transactions are also posted in particular areas of the apps and, together with these Terms of Use, govern your use of those areas, content or transactions. These Terms of Use, together with applicable additional terms and conditions, are referred to as this ""Agreement"".",505,<generic>,<other>
TERMS OF USE,TERMS OF USE,100.0,3887,main,EFF reserves the right to modify this agreement at any time without giving you prior notice. Your use of the apps following any such modification constitutes your agreement to follow and be bound by the agreement as modified. The last date these Terms of Use were revised is set forth above.,291,<generic>,<other>
TERMS OF USE,TERMS OF USE,100.0,3887,main,"You may use the information, writings, images and/or other works that are produced within the apps (singly or collectively, the “Content”) for your commercial or personal purposes. No right, title or interest in any Content is transferred to you, whether as a result of downloading such Content or otherwise. You may use, alter, copy, distribute, transmit, or derive another work from any Content obtained from the apps.",420,<generic>,<other>
COPYRIGHT,COPYRIGHT,100.0,5107,main,"COPYRIGHTThe apps are protected by Canadian and/or foreign copyright laws, and belong to EFF.",93,<generic>,<other>
LINKS TO THIRD PARTY WEBSITES,LINKS TO THIRD PARTY WEBSITES,100.0,5202,main,LINKS TO THIRD PARTY WEBSITES,29,<not>,<other>
LINKS TO THIRD PARTY WEBSITES,LINKS TO THIRD PARTY WEBSITES,100.0,5202,main,"Links in the apps to third party websites or information are provided solely as a convenience to you. If you use these links, you will leave the apps. Such links do not constitute or imply an endorsement, sponsorship, or recommendation by EFF, of the third party, the third party website, or the information contained therein. EFF is not responsible for the availability of any such web sites. EFF is not responsible or liable for any such website or the content thereon. If you use the links to the web sites of EFF affiliates or service providers, you will leave the apps, and will be subject to the terms of use and privacy policy applicable to those websites.",663,<not>,<other>
DISCLAIMER OF WARRANTIES,DISCLAIMER OF WARRANTIES,100.0,5896,main,DISCLAIMER OF WARRANTIES,24,<not>,<other>
DISCLAIMER OF WARRANTIES,DISCLAIMER OF WARRANTIES,100.0,5896,main,"EFF MAKES NO EXPRESS OR IMPLIED WARRANTIES, REPRESENTATIONS OR ENDORSEMENTS WHATSOEVER WITH RESPECT TO THE APPS OR THE CONTENT. EFF EXPRESSLY DISCLAIMS ALL WARRANTIES OF ANY KIND, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, BUT NOT LIMITED TO, IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE AND NON-INFRINGEMENT, WITH REGARD TO THE SITE, THE CONTENT, AND ANY PRODUCT OR SERVICE FURNISHED OR TO BE FURNISHED VIA THE SITE. EFF DOES NOT WARRANT THAT THE FUNCTIONS PERFORMED BY THE APPS WILL BE UNINTERRUPTED, TIMELY, SECURE OR ERROR-FREE, OR THAT DEFECTS IN THE APPS WILL BE CORRECTED. EFF DOES NOT WARRANT THE ACCURACY OR COMPLETENESS OF THE CONTENT, OR THAT ANY ERRORS IN THE CONTENT WILL BE CORRECTED. THE SITE AND THE CONTENT ARE PROVIDED ON AN “AS IS” AND “AS AVAILABLE” BASIS.",820,<not>,<other>
LIMITATION OF LIABILITY,LIMITATION OF LIABILITY,100.0,6742,main,LIMITATION OF LIABILITY,23,<not>,<other>
