decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy PolicySkip to main contentFast ScanSearchSearch This BlogPrivacy PolicyAugust 19, 2019Privacy PolicyCode MatriX built the FAST SCAN app as a Free app. This SERVICE is provided by Code MatriX at no cost and is intended for use as is.This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",400,<error>,<error>
,,-1.0,0,,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at FAST SCAN unless otherwise defined in this Privacy Policy.",476,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,888,main,"Information Collection and UseFor a better experience, while using our Service, I may require you to provide us with certain personally identifiable information. The information that I request will be retained on your device and is not collected by me in any way.The app does use third-party services that may collect information used to identify you.",351,<first>,<how-gathered>
Link to the privacy policy of third party service providers used by the app,Link to the privacy policy of third party service providers used by the app,100.0,1242,main,Link to the privacy policy of third party service providers used by the appGoogle Play ServicesAdMobFirebase AnalyticsFacebook,126,<third>,<what>
Log Data,Log Data,100.0,1373,main,"Log DataI want to inform you that whenever you use my Service, in the case of an error in the app I collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",445,<first>,<what>
Cookies,Cookies,100.0,1820,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these “cookies” explicitly. However, the app may use third party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",609,<tracking>,<what>
Service Providers,Service Providers,100.0,2432,main,"Service ProvidersI may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",511,<third>,<what>
Security,Security,100.0,2950,main,"SecurityI value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",315,<security>,<how-used>
Links to Other Sites,Links to Other Sites,100.0,3267,main,"Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.",411,<third>,<other>
Children’s Privacy,Children’s Privacy,100.0,3680,main,"Children’s PrivacyThese Services do not address anyone under the age of 13. I do not knowingly collect personally identifiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do necessary actions.",469,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4151,main,"Changes to This Privacy PolicyI may update our Privacy Policy from time to time. Thus, you are advised to review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page.",309,<change>,<when>
Contact Us,Contact Us,100.0,4462,main,"Contact UsIf you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me atoscarsapps2019@gmail.comShareGet linkFacebookTwitterPinterestEmailOther AppsShareGet linkFacebookTwitterPinterestEmailOther AppsCommentsUnknownSeptember 13, 2019 at 10:48 PMUse your service for what. Haven't needed it this long why would I need it now. I was on something important and this showed up kicked me out. Do not interfear with my phone. U don't pay the bill so stopReplyDeleteReplies",502,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"Khush rho Khushi aur da deshOctober 10, 2020 at 6:36 AMHii. 9919182472DeleteRepliesReplyUnknownFebruary 9, 2021 at 5:34 AMPlease unsubscribe me. I no longer need The scanner.DeleteRepliesReplyUnknownMarch 11, 2021 at 8:59 AMI am canceling tis app as of March 11 2021DeleteRepliesReplyUnknownMarch 14, 2021 at 8:26 PMdlatashajerryd66@gmail.comDeleteRepliesReplyUnknownAugust 4, 2021 at 5:36 AMDomingosDeleteRepliesReplyUnknownApril 18, 2022 at 9:38 PMPrivacy Policy >>>>>Download Now>>>>>Download Full",500,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"Privacy Policy >>>>>Download LINK>>>>>Download NowPrivacy Policy >>>>>Download Full>>>>>Download LINKOYDeleteRepliesReplyReplyUnknownSeptember 13, 2019 at 10:50 PMBlogspot stupidReplyDeleteRepliesUnknownDecember 18, 2021 at 7:13 PMAlexis r garzaDeleteRepliesReplyDipankar BoroJanuary 18, 2022 at 8:46 AMDipankarbotoDeleteRepliesReplyKhadriMay 17, 2022 at 3:28 AMComo cancelar suscripciónDeleteRepliesReplyReplyUnknownMay 31, 2020 at 7:02 AM",440,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"I buy full version, but after last update, all adds back.. I don't know why?ReplyDeleteRepliesUnknownDecember 18, 2021 at 7:13 PMThe White House is in wrongDeleteRepliesReplyUnknownJanuary 21, 2022 at 6:50 AMgDeleteRepliesReplyReplyUnknownJune 2, 2020 at 11:08 PMI bought the ad free premium account but since the Update Im seeing again a lot of ads.I already deinstalled and installed the App a thousand times. I would like a refund or a solution for my ProblemKind regardsArminReplyDeleteRepliesUnknown",504,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"September 11, 2020 at 7:56 AM9302418172DeleteRepliesReplyReplyUnknownSeptember 11, 2020 at 9:15 AMNo interestReplyDeleteRepliesReplyUnknownSeptember 24, 2020 at 3:03 AMI thought this app was supposed to be free. Please how do i cancel my subscriptionReplyDeleteRepliesYusufSeptember 26, 2022 at 6:41 AMAboneliğimi iptal etmek istiyorumDeleteRepliesReplyReplyPhineasSeptember 24, 2020 at 6:27 AMmuhindobazungu11@gmail.comReplyDeleteRepliesReplyPhineasSeptember 24, 2020 at 6:27 AMBon jour je suis nouveauReply",508,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"DeleteRepliesReplyeaglesgrouOctober 1, 2020 at 10:48 PMIdo not want to be bother againReplyDeleteRepliesReplyKhush rho Khushi aur da deshOctober 7, 2020 at 10:08 PMsantosh.arya.chanchal@gmail.comAvdhesh Kumar & Dinesh Kumar Thanks aur da desh khush rho KhushiUP 51 AQ 7486Mo.9919182472Mo.8881093701ग्राम पंचायत अधिकारीग्राम मल्हवारI घाटपोस्ट पिपरा गौतमजिला बस्तीथाना नगर बाजारब्लॉक बहादुरपुरReplyDeleteRepliesUnknownDecember 18, 2021 at 7:14 PMAll that information was supposed to go to serve mr. VikingDelete",509,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"RepliesReplyReplyOficina ConsultoraOctober 18, 2020 at 7:44 PMOkReplyDeleteRepliesUnknownDecember 1, 2020 at 6:17 AMOkDeleteRepliesReplyUnknownJuly 2, 2021 at 6:07 AMहिDeleteRepliesReplyReplyUnknownOctober 27, 2020 at 7:31 AMComo canceloReplyDeleteRepliesUnknownMarch 31, 2021 at 7:45 AMHola, pudiste cancelar? Lo intento pero no se dondeDeleteRepliesReplyUnknownJuly 15, 2021 at 4:52 AMخوب هستDeleteRepliesReplyReplyUnknownNovember 14, 2020 at 2:16 PME muito bom este aplicativoReplyDeleteRepliesReplyUnknown",509,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"November 23, 2020 at 11:29 PMYou asked me to write on credit or debit card but I don't know how to do it please.ReplyDeleteRepliesReplyUnknownDecember 4, 2020 at 10:39 AMPlease confirm that my subscription which I paid $17.99 is indeed a 1 year contract. Thank youReplyDeleteRepliesUnknownDecember 23, 2020 at 8:21 AMSkckekfkxkDeleteRepliesReplyReplyUnknownDecember 10, 2020 at 10:50 PMI want to unsubscribe from thus servicesReplyDeleteRepliesReplyUnknownDecember 10, 2020 at 10:51 PM",485,<contact>,<other>
Contact Us,Contact Us,100.0,4462,main,"Please how can i unsubscribe from this serviveReplyDeleteRepliesReplyVinnieDecember 13, 2020 at 1:52 AMI'm trying to unsubscribe from the app pleaseReplyDeleteRepliesUnknownDecember 15, 2020 at 6:03 AMI ned sign outDeleteRepliesReplyReplyUnknownDecember 15, 2020 at 10:38 AMComment scanner le documentReplyDeleteRepliesReplyUnknownJanuary 19, 2021 at 3:54 AMI need to unsubscribe from the app.How do I do it?ReplyDeleteRepliesReplyUnknownJanuary 20, 2021 at 5:16 PMIs a excelente softwareReplyDeleteRepliesReply",511,<contact>,<other>
