decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy PolicySearch this siteSkip to main contentSkip to navigationPrivacy PolicyPrivacy PolicyLast updated: Sep 19, 2018This Privacy Policy outlines the practices of bringsgame (the "" we"", ""us"" or ""our"") concerning the collection, use and disclosure of information pertaining to end users.",291,<error>,<error>
Personal Information,Personal Information,100.0,299,main,"Personal InformationWe DO NOT collect, store or use any personal information while you visit, download or upgrade our products.",127,<first>,<what>
Google Analytics:,Google  Analytics,94.11764705882352,428,main,Google  Analytics:We have used Firebase Analytics. this service may also automatically record your ,99,<first>,<what>
Google Advertising ID,Google Advertising ID,100.0,528,sub,Google Advertising ID (if you are using an Android device) or your ,67,<third>,<what>
Advertising Identifier,Advertising Identifier,100.0,595,sub,"Advertising Identifier (IDFA – if you are using an iOS device; together with the Google Advertising ID – ""Mobile Advertising IDs""), for advertising or analytics purposes. The Google Advertising ID is an anonymous identifier, provided by Google Play services. If your device has an Advertising ID, we may collect and use it for advertising and user analytics purposes.  Please see below how you can reset you mobile Advertising ID or opt-out of receiving targeted ads through your mobile Advertising IDs.",503,<third>,<what>
The purpose of using firebase analytics:,The purpose of using firebase analytics:,100.0,1099,sub,The purpose of using firebase analytics:Enable us to improve the performance and quality of our app.,100,<first>,<why>
Mobile Device Opt-Out,Mobile Device Opt-Out,100.0,1201,sub,Mobile Device Opt-Out - you may ,32,<choice>,<how-used>
Opt-out of receiving targeted ads,opt out of receiving targeted ads,96.96969696969697,1233,sub,"opt out of receiving targeted ads on mobile devices using the Android operating system, by using platform level controls enabled through your device settings. You should consult your device settings and instructions provided by your device manufacturer. However, we provide the following information solely for informational purposes.",334,<choice>,<how-used>
Opt-out of receiving targeted ads,opt out of receiving targeted ads,96.96969696969697,1233,sub,"If you have an Apple device, you can opt out of targeted advertising by updating to iOS 6.0 or higher, and setting ""Limit Ad Tracking"" to ""ON"". You can do this by clicking on Settings -> Privacy -> Advertising, and toggling ""Limit Ad Tracking"" to ""ON"". This prevents apps that you use from using your Apple device’s Advertising Identifier to serve you targeted ads. In addition, or as an alternative, you may reset your device’s Advertising Identifier, which will result in your device being disassociated from ad targeting profiles based on the Advertising Identifier in effect prior to reset. You can do this by clicking on Settings -> Privacy -> Advertising -> Reset Advertising Identifier. Again, you should consult Apple’s support web pages and instructions for the most current applicable settings.",804,<choice>,<how-used>
Opt-out of receiving targeted ads,opt out of receiving targeted ads,96.96969696969697,1233,sub,"If you have an Android device, you can opt out of targeted advertising on your device. You can do this by clicking the menu icon to display the apps list, then find and select the Google Settings icon, then find and select ""Ads"" and check the box ""Opt out of interest-based ads"". In addition, or as an alternative, you may reset your device’s Android advertising ID, which will result in your device being disassociated from ad targeting profiles based on the Android advertising ID in effect prior to reset. You can do this by clicking the menu icon to display the apps list, then find and select the Google Settings icon, then find and select ""Ads"" and selecting ""Reset advertising ID"". Note that Android settings menus may vary among device manufacturers and these instructions may not be accurate for your device. You should consult Google’s settings and instructions for the most current settings information.",914,<choice>,<how-used>
Opt-out of receiving targeted ads,opt out of receiving targeted ads,96.96969696969697,1233,sub,"bringsgame will occasionally update this privacy statement. When we do so, we will also revise the ""last updated"" date of the privacy statement.",144,<choice>,<how-used>
Google Sites,Google Sites,100.0,3433,main,Google SitesReport abuseGoogle SitesReport abuse,48,<third>,<how-used>
