decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy | VR PlayerVR PlayerVirtual Reality Video PlayerPrivacy PolicyIntruder Shanky built this appVR Player - Virtual Reality. This SERVICE is provided by Intruder Shanky at no cost and is intended for use as is.This page is used to inform app users regarding our policies with the collection, use, and            disclosure of Personal Information if anyone decided to use our service.If you choose to use our service, then you agree to the collection and use of information in",487,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"            relation with this policy. ThePersonal Informationthat We collect are used for providing and            improving the Service. We will not use or share your information with anyone except as described            in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions,            which is accessible atVR Player - Virtual Reality, unless otherwise defined in this Privacy Policy.",450,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,956,main,"Information Collection and UseWe do not ask you to provide us any personally identifiable information such as name, email, contact information, location etc.The app does use third party services that may collect information used to identify you.Google Advertising Services",272,<generic>,<what>
Log Data,Log Data,100.0,1232,main,"Log DataWe want to inform you that whenever you use our Service, in case of an error in the app, We collect            data and information (through third party products) on your phone called Log Data. This Log Data            may include information such as your devices’s Internet Protocol address, device name,            operating system version, configuration of the app when utilising our Service, the time and date            of your use of the Service, and other statistics.",482,<first>,<what>
Cookies,Cookies,100.0,1720,main,"CookiesCookies are files with small amount of data that is commonly used an anonymous unique identifier.            These are sent to your browser from the website that you visit and are stored on your devices’s            internal memory.This Services does not uses these “cookies” explicitly. However, the app may use third            party code and libraries that use “cookies” to collection information and to improve their services. You",441,<first>,<what>
Cookies,Cookies,100.0,1720,main,"            have the option to either accept or refuse these cookies, and know when a cookie is being sent            to your device. If you choose to refuse our cookies, you may not be able to use some portions of            this Service.",239,<first>,<what>
Service Providers,Service Providers,100.0,2409,main,"Service ProvidersWe may employ third-party companies and individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.We want to inform users of this app that these third parties have access to your Personal            Information. The reason is to perform the tasks assigned to them on our behalf. However, they",444,<third>,<what>
Service Providers,Service Providers,100.0,2409,main,            are obligated not to disclose or use the information for any other purpose.,87,<third>,<what>
Security,Security,100.0,2949,main,"SecurityWe value your trust in providing us your Personal Information, thus we are striving to use            commercially acceptable means of protecting it. But remember that no method of transmission over            the internet, or method of electronic storage is 100% secure and reliable, and we cannot            guarantee its absolute security.",350,<security>,<how-used>
Links to Other Sites,Links to Other Sites,100.0,3304,main,Links to Other SitesThis Service may contain links to other sites. If you click on,82,<generic>,<other>
Third-Party Sites, a third-party li,76.47058823529412,3387,sub," a third-party link, you will be            directed to that site. Note that these external sites are not operated by us. Therefore, I            strongly advise you to review the Privacy Policy of these websites. I have no control over, and            assume no responsibility for the content, privacy policies, or practices of any third-party            sites or services.",374,<third>,<other>
Children’s Privacy,Children’s Privacy,100.0,3766,main,Children’s PrivacyThis Services do not address anyone under the age of 13. we do not knowingly collect personal            identifiable information from ,153,<audience>,<who>
Children Under 13,children under 13,100.0,3921,sub,"children under 13. In the case we discover that a child under 13            has provided us with personal information, we immediately delete this from our servers. If you            are a parent or guardian and you are aware that your child has provided us with personal            information, please contact us so that we will be able to do necessary actions.",361,<audience>,<when>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4286,main,Changes to This Privacy PolicyWe may ,37,<change>,<other>
Updates to Privacy Policy,update our Privacy Policy,92.0,4324,sub,"update our Privacy Policy from time to time. Thus, you are advised to review this page            periodically for any changes. We will notify you of any changes by posting the new Privacy Policy            on this page. These changes are effective immediately, after they are posted on this page.",297,<change>,<when>
Contact Us,Contact Us,100.0,4624,main,"Contact UsIf you have any questions or suggestions about our Privacy Policy, please write us atintrudershanky@outlook.comDeveloped By: Intruder Shanky",150,<contact>,<other>
