appid,policy_url,hash_name,app_cata,file_size,bin
com.andromo.dev682265.app1072421,https://lightscbt.blogspot.com/p/privacy-policy.html,6bfc4a068419005854cc2f8d44d1c799c50b7324ac466ed53ecaf8c1af8b3cb7.txt,SOCIAL,8.962890625,0-10
com.necta.wifimousefree,https://www.necta.us/wifimouse/WiFiMousePrivacy.htm,8abef80e5bc36a9d241d89183e90953da0aaca75f336571c816f65be4b781181.txt,TOOLS,3.173828125,0-10
com.eclipsim.gpsstatus2,https://mobiwia.com/gpsstatus/privacy,4bb8bc6eec09d94144ef10351169d3dc1e2ef489bbd8fee9dd609218bc552568.txt,TRAVEL_AND_LOCAL,1.603515625,0-10
music.video.player.downloader,https://sites.google.com/view/private-video-downloader-priva/home,d83b713836c2978582c4822b8d3b95c48cd88a3b23d87c7e444c1d3179316534.txt,TOOLS,4.775390625,0-10
com.everydaycalculation.casiocalculator,http://casiocalc.blogspot.com/2020/02/privacy-policy.html,7dd1ed83a4a4d85730fcd2c97c692d998b34ab61f5c839538b1e14ef25c3f420.txt,TOOLS,1.078125,0-10
ultra.colorful.phone.themes.ringtone,https://sites.google.com/view/uacpprivacypolicy,c7fed61b5b17d0a15a80011eae0df0e20b81af4e1aaf875f5aead4a3cf663f07.txt,TOOLS,4.7109375,0-10
com.keeratipong.skineditor3dminecraft,http://remoro-studios.com/privacy_policy,765a724c173f451aa3bab53b8a7b26590c589009448ce1c7cdd3033f5c61e2ca.txt,TOOLS,4.5234375,0-10
com.newgenerationhub.speedtest.meter.wifi.coverage.speed.test,https://sites.google.com/view/new-generation-hub/home,02284d67487568637f0946533fbbfea23a135d6dff64688882f5d9594612e78c.txt,PRODUCTIVITY,4.3916015625,0-10
com.km.multiphoto.camera,https://www.dexati.com/privacycloud.html,67c163938f0ee5f19ce86579c0f2a6615f705c300c739afd432fe2e942f77285.txt,PHOTOGRAPHY,5.4248046875,0-10
com.galleryvault.photovault.videohider.vaultwithlock.privategalleryvault,https://sites.google.com/view/mediatechstudioz/home,0736f43e554490f36b80cacd0153a18ba05f6406fea779c30f66ddbf635e5914.txt,VIDEO_PLAYERS,7.42578125,0-10
com.goldensoft.dictionaryenfree,http://www.golden-soft.net/privacy/golden_dictionary.html,756951f3df4883498112de264706c990728b1bad13c3dad12392e7e2e07fcf80.txt,BOOKS_AND_REFERENCE,5.001953125,0-10
com.nyctrans.it,http://mytrans.it/privacy.htm,005c7486db3c125ad2ce27a084bfc51a53985cc13bc2a35faf49e457b61595ae.txt,MAPS_AND_NAVIGATION,6.3359375,0-10
